rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,PLAB,95.42,0.9542,2023-12-07,21.326,2.5379,0.5863,-0.0155,1.456,1.0,0.0,0.5,0.0,0.5,Small Cap
2,BULL,BOOT,93.33,0.9333,2023-12-07,13.8042,-0.0274,0.8733,-0.0929,1.2468,1.0,0.0,0.35,0.0,0.35,Small Cap
3,BULL,MYRG,93.17,0.9317,2023-12-07,23.4766,4.7064,0.7687,0.0467,0.9215,1.0,0.0,0.5417,0.0,0.5417,Small Cap
4,BULL,UPWK,92.86,0.9286,2023-12-07,33.3887,0.7617,0.8489,-0.0455,1.9478,1.0,0.0,0.65,0.0,0.65,Small Cap
5,BULL,INSW,92.78,0.9278,2023-12-07,15.6109,-2.0585,0.8389,-0.0344,-0.0524,1.0,0.0,0.25,0.0,0.25,Small Cap
6,BULL,TPH,92.5,0.925,2023-12-07,39.8663,4.7467,0.718,0.0169,1.4889,1.0,0.0,0.8,0.0,0.8,Small Cap
7,BULL,METC,92.37,0.9237,2023-12-07,41.9264,5.8548,0.8951,0.2943,-0.0584,1.0,0.0,0.8,0.0,0.8,Small Cap
8,BULL,PRIM,92.06,0.9206,2023-12-07,21.4643,0.6912,0.8322,-0.0589,0.7547,1.0,0.0,0.8667,0.1167,0.75,Small Cap
9,BULL,AGYS,91.37,0.9137,2023-12-07,23.0949,-0.646,0.871,-0.1023,1.3744,1.0,0.0,1.0833,0.0,1.0833,Small Cap
10,BULL,GRBK,91.36,0.9136,2023-12-07,40.3194,5.2915,0.6715,0.0503,1.4236,1.0,0.0,0.4,0.0,0.4,Small Cap
