rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,HUBG,3.48,0.9797,2024-01-12,25.8167,2.293,0.8628,0.0528,0.7794,1.0,0.0,0.65,0.0,0.65
2,BULL,PR,3.48,0.9769,2024-01-12,11.4254,0.8041,0.7155,0.0091,0.5532,1.0,0.0,0.5,0.0,0.5
3,BULL,ORCL,3.48,0.9744,2024-01-12,25.5788,1.976,0.6673,0.0351,0.936,1.0,0.0,0.5833,0.0,0.5833
4,BULL,MTDR,3.48,0.9707,2024-01-12,12.6513,0.5763,0.8076,0.0051,0.6015,1.0,0.0,0.525,0.0,0.525
5,BULL,HCI,3.48,0.9683,2024-01-12,29.1786,-0.0102,0.9377,0.0011,0.5245,1.0,0.0,0.65,0.0,0.65
6,BULL,METC,3.48,0.9599,2024-01-12,39.1107,4.9005,0.9604,0.1856,-0.0274,1.0,0.0,0.8,0.0,0.8
7,BULL,CRC,3.48,0.9553,2024-01-12,19.8612,1.1909,0.9472,0.0163,0.4444,1.0,0.0,0.35,0.0,0.35
8,BULL,DFH,3.29,1.0,2024-01-12,37.2833,3.9968,0.9133,0.1753,1.6632,1.0,0.0,1.0833,0.0,1.0833
9,BULL,UBER,3.29,0.9877,2024-01-12,33.7869,0.7479,0.9555,0.0136,1.5422,1.0,0.0,0.8,0.0,0.8
10,BULL,NVDA,3.29,0.9862,2024-01-12,24.2501,4.9525,0.8445,0.1258,1.7965,1.0,0.0,1.0833,0.0,1.0833
11,BULL,SBCF,3.29,0.9848,2024-01-12,25.8759,-1.2533,0.8945,-0.0413,1.4093,1.0,0.0,0.65,0.0,0.65
12,BULL,VLY,3.29,0.9842,2024-01-12,35.5553,-0.5375,0.8224,-0.015,1.4675,1.0,0.0,0.65,0.0,0.65
13,BULL,SYNA,3.29,0.9824,2024-01-12,24.7043,-0.9807,0.8475,-0.0382,2.0675,1.0,0.0,0.8667,0.0,0.8667
14,BULL,CVBF,3.29,0.9819,2024-01-12,20.3254,-1.7413,0.7529,-0.0501,1.1546,1.0,0.0,0.65,0.0,0.65
15,BULL,BKU,3.29,0.9795,2024-01-12,30.4702,-1.3928,0.8809,-0.0467,1.7037,1.0,0.0,0.65,0.2333,0.4167
16,BULL,PATH,3.29,0.977,2024-01-12,23.6081,-2.7828,0.7341,-0.1221,2.2942,1.0,0.0,0.65,0.0,0.65
17,BULL,OZK,3.29,0.9766,2024-01-12,42.8839,-0.5397,0.7918,-0.0131,1.3014,1.0,0.0,0.65,0.0,0.65
18,BULL,WSFS,3.29,0.9742,2024-01-12,23.4717,0.6052,0.8182,0.0205,1.381,1.0,0.0,0.65,0.0,0.65
19,BULL,ADEA,3.29,0.9737,2024-01-12,41.3913,1.723,0.896,0.0524,1.4284,1.0,0.0,1.0833,0.0,1.0833
20,BULL,PANW,3.29,0.9719,2024-01-12,24.4489,1.3831,0.8731,0.0324,1.4479,1.0,0.0,0.9333,0.0,0.9333
21,BULL,BLDR,3.29,0.9711,2024-01-12,40.0972,2.705,0.835,0.0717,1.8918,1.0,0.0,0.8,0.0,0.8
22,BULL,WAL,3.29,0.9701,2024-01-12,46.4869,0.692,0.8944,0.0269,2.1209,1.0,0.0,0.65,0.0,0.65
23,BULL,CRDO,3.29,0.9651,2024-01-12,24.652,0.4003,0.8292,0.0144,1.9055,1.0,0.0,0.65,0.0,0.65
24,BULL,HASI,3.29,0.9642,2024-01-12,27.3974,-1.8003,0.9779,-0.0904,2.4102,1.0,0.0,0.65,0.0,0.65
25,BULL,SKY,3.29,0.9607,2024-01-12,23.6717,-0.159,0.7744,0.0055,1.4235,1.0,0.0,0.65,0.0,0.65
