rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BEAR,HPE,3.33,1.0,2024-01-12,20.2184,-1.4839,0.9412,-0.0457,1.0428,1.0,0.0,0.0,0.1083,-0.1083
2,BEAR,EXC,3.33,0.9994,2024-01-12,11.4903,-4.8154,0.6761,-0.097,0.5728,1.0,0.0,0.0,0.325,-0.325
3,BEAR,SAH,3.33,0.9987,2024-01-12,16.616,-1.209,0.8014,-0.0352,0.9346,1.0,0.0,0.0,0.0833,-0.0833
4,BEAR,RRX,3.33,0.9981,2024-01-12,27.2412,0.7396,0.7239,0.015,0.5677,1.0,0.0,0.0,0.25,-0.25
5,BEAR,NXPI,3.33,0.9974,2024-01-12,31.6766,-2.0383,0.8765,-0.06,1.4155,1.0,0.0,0.0,0.0583,-0.0583
6,BEAR,WINA,3.33,0.9968,2024-01-12,31.7732,-4.8154,0.8817,-0.187,0.8709,1.0,0.0,0.0,0.325,-0.325
7,BEAR,DAL,3.33,0.9961,2024-01-12,29.0833,-2.1733,1.0,-0.0743,1.1149,1.0,0.0,0.0,0.25,-0.25
8,BEAR,UNF,3.33,0.9955,2024-01-12,28.0109,-2.8693,0.9742,-0.092,1.0125,1.0,0.0,0.0,0.4,-0.4
9,BEAR,SCHL,3.33,0.9948,2024-01-12,12.2433,-2.1153,0.7337,-0.0487,0.3871,1.0,0.0,0.0,0.325,-0.325
10,BEAR,MTUS,3.33,0.9942,2024-01-12,26.0546,-0.9409,0.8973,-0.0405,0.7924,1.0,0.0,0.0,0.1083,-0.1083
11,BEAR,NKE,3.33,0.9935,2024-01-12,33.3282,-4.8154,0.7716,-0.1322,0.8751,1.0,0.0,0.0,0.8667,-0.8667
12,BEAR,BANC,3.33,0.9929,2024-01-12,14.8375,-0.6311,0.7051,-0.0203,1.6985,1.0,0.0,0.0,0.2333,-0.2333
13,BEAR,FDP,3.33,0.9923,2024-01-12,29.0565,0.4915,0.7853,0.0026,0.0919,1.0,0.0,0.0,0.25,-0.25
14,BEAR,KTOS,3.33,0.9916,2024-01-12,30.0538,-3.6482,0.8306,-0.1158,0.9173,1.0,0.0,0.0,0.0583,-0.0583
15,BEAR,BIDU,3.33,0.991,2024-01-12,11.0328,-0.8878,0.8729,-0.0525,1.1182,1.0,0.0,0.0,0.5333,-0.5333
16,BEAR,BBY,3.33,0.9903,2024-01-12,15.891,0.9029,0.7931,0.0309,0.6243,1.0,0.0,0.0,0.175,-0.175
17,BEAR,XYZ,3.33,0.9897,2024-01-12,36.661,-1.4026,0.9466,-0.051,2.0291,1.0,0.0,0.0,0.0583,-0.0583
18,BEAR,SHEN,3.33,0.989,2024-01-12,22.0094,-0.9314,0.669,-0.0467,0.2731,1.0,0.0,0.0,0.4,-0.4
19,BEAR,SHC,3.33,0.9884,2024-01-12,42.8693,0.6104,0.9197,-0.0014,1.0797,1.0,0.0,0.0,0.0833,-0.0833
20,BEAR,AVNS,3.33,0.9877,2024-01-12,25.4657,-2.3066,0.9391,-0.1236,1.6478,1.0,0.0,0.0,0.8,-0.8
21,BEAR,HUM,3.33,0.9871,2024-01-12,19.3782,-4.3653,0.7278,-0.1278,0.0187,1.0,0.0,0.0,0.4,-0.4
22,BEAR,SNDR,3.33,0.9864,2024-01-12,16.1671,-0.3122,0.6479,-0.0131,0.4517,1.0,0.0,0.0,0.1333,-0.1333
23,BEAR,BOX,3.33,0.9858,2024-01-12,14.5876,0.7918,0.8052,0.0156,0.9552,1.0,0.0,0.0,0.65,-0.65
24,BEAR,MAN,3.33,0.9852,2024-01-12,21.0747,0.5823,0.8803,0.0047,0.6851,1.0,0.0,0.0,0.0583,-0.0583
25,BEAR,ADM,3.33,0.9845,2024-01-12,19.2591,-4.1362,0.8056,-0.0887,0.2982,1.0,0.0,0.0,0.4,-0.4
26,BEAR,KNTK,3.33,0.9839,2024-01-12,12.6628,-0.529,0.9111,-0.0295,0.4036,1.0,0.0,0.0,0.1083,-0.1083
27,BEAR,STEL,3.33,0.9832,2024-01-12,25.7045,-1.7045,0.8905,-0.0458,1.0381,1.0,0.0,0.0,0.0583,-0.0583
28,BEAR,MDB,3.33,0.9826,2024-01-12,19.1417,-1.3579,0.7428,-0.0548,2.0284,1.0,0.0,0.0,0.0583,-0.0583
29,BEAR,POWI,3.33,0.9819,2024-01-12,24.3706,-1.8526,0.805,-0.0578,1.5022,1.0,0.0,0.0,0.1083,-0.1083
30,BEAR,CHCO,3.33,0.9813,2024-01-12,32.1412,-0.9119,0.9708,-0.019,0.5201,1.0,0.0,0.0,0.0583,-0.0583
