rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,HPE,100.0,1.0,2024-01-12,20.2184,-1.4839,0.9412,-0.0457,1.0428,1.0,0.0,0.0,0.1083,-0.1083,Large Cap
2,BEAR,EXC,99.94,0.9994,2024-01-12,11.4903,-4.8154,0.6761,-0.097,0.5728,1.0,0.0,0.0,0.325,-0.325,Large Cap
3,BEAR,NXPI,99.74,0.9974,2024-01-12,31.6766,-2.0383,0.8765,-0.06,1.4155,1.0,0.0,0.0,0.0583,-0.0583,Large Cap
4,BEAR,DAL,99.61,0.9961,2024-01-12,29.0833,-2.1733,1.0,-0.0743,1.1149,1.0,0.0,0.0,0.25,-0.25,Large Cap
5,BEAR,NKE,99.35,0.9935,2024-01-12,33.3282,-4.8154,0.7716,-0.1322,0.8751,1.0,0.0,0.0,0.8667,-0.8667,Large Cap
6,BEAR,BBY,99.03,0.9903,2024-01-12,15.891,0.9029,0.7931,0.0309,0.6243,1.0,0.0,0.0,0.175,-0.175,Large Cap
7,BEAR,XYZ,98.97,0.9897,2024-01-12,36.661,-1.4026,0.9466,-0.051,2.0291,1.0,0.0,0.0,0.0583,-0.0583,Large Cap
8,BEAR,HUM,98.71,0.9871,2024-01-12,19.3782,-4.3653,0.7278,-0.1278,0.0187,1.0,0.0,0.0,0.4,-0.4,Large Cap
9,BEAR,ADM,98.45,0.9845,2024-01-12,19.2591,-4.1362,0.8056,-0.0887,0.2982,1.0,0.0,0.0,0.4,-0.4,Large Cap
10,BEAR,MDB,98.26,0.9826,2024-01-12,19.1417,-1.3579,0.7428,-0.0548,2.0284,1.0,0.0,0.0,0.0583,-0.0583,Large Cap
