rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,BJ,99.55,0.9955,2023-12-07,18.5055,-2.2128,0.7922,-0.0982,0.4585,1.0,0.0,0.0,0.5333,-0.5333,Mid Cap
2,BEAR,JAZZ,99.1,0.991,2023-12-07,29.6421,-2.3943,0.8346,-0.1439,0.6139,1.0,0.0,0.0,0.4,-0.4,Mid Cap
3,BEAR,RRX,99.03,0.9903,2023-12-07,26.7365,4.8373,0.7,0.0704,0.5627,1.0,0.0,0.0,0.65,-0.65,Mid Cap
4,BEAR,BDC,98.84,0.9884,2023-12-07,33.0914,2.971,0.542,0.0065,1.1005,1.0,0.0,0.0,0.65,-0.65,Mid Cap
5,BEAR,ILMN,98.77,0.9877,2023-12-07,33.0508,1.2704,0.9093,-0.0173,1.059,1.0,0.0,0.0,0.325,-0.325,Mid Cap
6,BEAR,TTEK,98.71,0.9871,2023-12-07,20.4421,3.6122,0.9227,0.0082,0.6613,1.0,0.0,0.0,0.0333,-0.0333,Mid Cap
7,BEAR,NOV,98.64,0.9864,2023-12-07,23.7713,-0.3954,0.8239,0.0179,0.4691,1.0,0.0,0.0,0.1333,-0.1333,Mid Cap
8,BEAR,GTLS,98.58,0.9858,2023-12-07,16.5026,1.0468,0.6965,-0.0296,1.663,1.0,0.0,0.0,0.1333,-0.1333,Mid Cap
9,BEAR,RRC,98.32,0.9832,2023-12-07,27.5927,-3.2156,0.8901,-0.0871,0.4979,1.0,0.0,0.0,0.325,-0.325,Mid Cap
10,BEAR,EXPO,97.8,0.978,2023-12-07,19.9887,4.9444,0.7016,0.0523,0.7789,1.0,0.0,0.0,0.25,-0.25,Mid Cap
