rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,SAH,99.87,0.9987,2024-01-12,16.616,-1.209,0.8014,-0.0352,0.9346,1.0,0.0,0.0,0.0833,-0.0833,Small Cap
2,BEAR,WINA,99.68,0.9968,2024-01-12,31.7732,-4.8154,0.8817,-0.187,0.8709,1.0,0.0,0.0,0.325,-0.325,Small Cap
3,BEAR,UNF,99.55,0.9955,2024-01-12,28.0109,-2.8693,0.9742,-0.092,1.0125,1.0,0.0,0.0,0.4,-0.4,Small Cap
4,BEAR,SCHL,99.48,0.9948,2024-01-12,12.2433,-2.1153,0.7337,-0.0487,0.3871,1.0,0.0,0.0,0.325,-0.325,Small Cap
5,BEAR,MTUS,99.42,0.9942,2024-01-12,26.0546,-0.9409,0.8973,-0.0405,0.7924,1.0,0.0,0.0,0.1083,-0.1083,Small Cap
6,BEAR,BANC,99.29,0.9929,2024-01-12,14.8375,-0.6311,0.7051,-0.0203,1.6985,1.0,0.0,0.0,0.2333,-0.2333,Small Cap
7,BEAR,FDP,99.23,0.9923,2024-01-12,29.0565,0.4915,0.7853,0.0026,0.0919,1.0,0.0,0.0,0.25,-0.25,Small Cap
8,BEAR,SHEN,98.9,0.989,2024-01-12,22.0094,-0.9314,0.669,-0.0467,0.2731,1.0,0.0,0.0,0.4,-0.4,Small Cap
9,BEAR,AVNS,98.77,0.9877,2024-01-12,25.4657,-2.3066,0.9391,-0.1236,1.6478,1.0,0.0,0.0,0.8,-0.8,Small Cap
10,BEAR,SNDR,98.64,0.9864,2024-01-12,16.1671,-0.3122,0.6479,-0.0131,0.4517,1.0,0.0,0.0,0.1333,-0.1333,Small Cap
