rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,XOM,100.0,1.0,2024-01-12,14.3814,0.5438,0.7162,-0.0048,0.0956,1.0,0.0,0.0333,0.0,0.0333,Large Cap
2,BULL,TGT,99.94,0.9994,2024-01-12,40.3397,0.9609,0.6249,0.0082,0.6421,1.0,0.0,0.4,0.0,0.4,Large Cap
3,BULL,BMY,99.87,0.9987,2024-01-12,28.363,-0.936,0.8108,-0.0419,0.4977,1.0,0.0,0.0333,0.0,0.0333,Large Cap
4,BULL,ETR,99.68,0.9968,2024-01-12,20.3039,-1.4566,0.7202,0.0094,0.4634,1.0,0.0,0.4,0.0,0.4,Large Cap
5,BULL,DIS,99.61,0.9961,2024-01-12,13.6731,-1.6999,0.6416,-0.0451,0.4654,1.0,0.0,0.0833,0.0,0.0833,Large Cap
6,BULL,ABNB,99.55,0.9955,2024-01-12,18.1859,-2.0372,0.7003,-0.0419,1.5628,1.0,0.0,0.4333,0.0,0.4333,Large Cap
7,BULL,UBER,99.23,0.9923,2024-01-12,33.7869,0.7479,0.9555,0.0136,1.5422,1.0,0.0,0.8,0.0,0.8,Large Cap
8,BULL,BAX,98.13,0.9813,2024-01-12,52.858,2.7213,0.8484,0.0379,0.4889,1.0,0.0,0.4,0.0,0.4,Large Cap
9,BULL,ORCL,97.74,0.9774,2024-01-12,25.5788,1.976,0.6673,0.0351,0.936,1.0,0.0,0.5833,0.0,0.5833,Large Cap
10,BULL,CBRE,97.48,0.9748,2024-01-12,33.7971,-0.4546,0.8189,-0.0198,1.2488,1.0,0.0,0.65,0.0,0.65,Large Cap
