rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,PR,99.81,0.9981,2024-01-12,11.4254,0.8041,0.7155,0.0091,0.5532,1.0,0.0,0.5,0.0,0.5,Mid Cap
2,BULL,NWE,99.74,0.9974,2024-01-12,15.5911,-3.4109,0.7757,-0.0326,0.7661,1.0,0.0,0.0333,0.0,0.0333,Mid Cap
3,BULL,VLY,99.42,0.9942,2024-01-12,35.5553,-0.5375,0.8224,-0.015,1.4675,1.0,0.0,0.65,0.0,0.65,Mid Cap
4,BULL,BHF,99.1,0.991,2024-01-12,26.739,-2.4408,0.7439,-0.055,1.0308,1.0,0.0,0.4333,0.0,0.4333,Mid Cap
5,BULL,ONB,99.03,0.9903,2024-01-12,30.7321,-1.0527,0.8073,-0.0238,1.0269,1.0,0.0,0.325,0.0,0.325,Mid Cap
6,BULL,GFS,98.71,0.9871,2024-01-12,19.0422,-0.2101,0.779,-0.0094,1.798,1.0,0.0,0.0833,0.0,0.0833,Mid Cap
7,BULL,OZK,98.58,0.9858,2024-01-12,42.8839,-0.5397,0.7918,-0.0131,1.3014,1.0,0.0,0.65,0.0,0.65,Mid Cap
8,BULL,PATH,98.39,0.9839,2024-01-12,23.6081,-2.7828,0.7341,-0.1221,2.2942,1.0,0.0,0.65,0.0,0.65,Mid Cap
9,BULL,OVV,98.06,0.9806,2024-01-12,18.6553,0.0,0.7461,-0.0151,0.3568,1.0,0.0,0.1333,0.0,0.1333,Mid Cap
10,BULL,GXO,98.0,0.98,2024-01-12,18.2882,-0.2582,0.8105,-0.0124,1.2913,1.0,0.0,0.0833,0.0,0.0833,Mid Cap
