rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,LTC,99.81,0.9981,2023-12-07,22.7686,4.1822,0.7623,-0.0156,0.6931,1.0,0.0,0.1333,0.0,0.1333,Small Cap
2,BULL,INSW,99.48,0.9948,2023-12-07,15.6109,-2.0585,0.8389,-0.0344,-0.0524,1.0,0.0,0.25,0.0,0.25,Small Cap
3,BULL,PLAB,99.03,0.9903,2023-12-07,21.326,2.5379,0.5863,-0.0155,1.456,1.0,0.0,0.5,0.0,0.5,Small Cap
4,BULL,BGC,98.9,0.989,2023-12-07,23.7928,0.1613,0.8154,-0.0939,0.7455,1.0,0.0,0.1083,0.0,0.1083,Small Cap
5,BULL,CWT,98.25,0.9825,2023-12-07,19.9781,2.8549,0.8588,0.0067,0.5654,1.0,0.0,0.1083,0.0,0.1083,Small Cap
6,BULL,NTCT,98.13,0.9813,2023-12-07,32.1084,1.2773,0.5351,-0.0474,0.3364,1.0,0.0,0.0583,0.0,0.0583,Small Cap
7,BULL,MYRG,98.06,0.9806,2023-12-07,23.4766,4.7064,0.7687,0.0467,0.9215,1.0,0.0,0.5417,0.0,0.5417,Small Cap
8,BULL,GRBK,97.87,0.9787,2023-12-07,40.3194,5.2915,0.6715,0.0503,1.4236,1.0,0.0,0.4,0.0,0.4,Small Cap
9,BULL,ADT,97.61,0.9761,2023-12-07,14.3794,1.734,0.8071,-0.0294,1.2538,1.0,0.0,0.1083,0.0,0.1083,Small Cap
10,BULL,CVSA,97.54,0.9754,2023-12-07,44.3656,3.4012,0.7015,-0.0184,0.8243,1.0,0.0,0.1333,0.0,0.1333,Small Cap
