rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,CAG,95.87,0.9587,2024-01-12,15.0251,-2.4654,0.9092,-0.0601,0.2946,1.0,0.0,0.1083,0.35,-0.2417,Large Cap
2,BEAR,CPB,95.65,0.9565,2024-01-12,23.4198,-1.8567,0.891,-0.0449,-0.0274,1.0,0.0,0.1083,0.4083,-0.3,Large Cap
3,BEAR,ARE,94.63,0.9463,2024-01-12,41.8461,0.5306,0.84,0.0054,1.5745,1.0,0.0,0.325,0.2333,0.0917,Large Cap
4,BEAR,DXCM,93.4,0.934,2024-01-12,25.505,0.7306,0.8093,-0.0012,1.0237,1.0,0.0,0.4,0.1,0.3,Large Cap
5,BEAR,HSY,93.32,0.9332,2024-01-12,21.6865,0.5159,0.9272,-0.0002,0.2721,1.0,0.0,0.0833,0.3333,-0.25,Large Cap
6,BEAR,HPQ,92.52,0.9252,2024-01-12,19.1167,-0.5854,0.9369,-0.0145,0.8339,1.0,0.0,0.325,0.175,0.15,Large Cap
7,BEAR,BIIB,92.08,0.9208,2024-01-12,23.1342,-1.2994,0.8377,-0.0527,0.793,1.0,0.0,0.0583,0.65,-0.5917,Large Cap
8,BEAR,DASH,91.55,0.9155,2024-01-12,26.6284,1.2644,0.737,0.0467,2.0651,1.0,0.0,0.4,0.1333,0.2667,Large Cap
9,BEAR,DOC,91.21,0.9121,2024-01-12,32.6813,3.3056,0.8427,0.0725,1.3037,1.0,0.0,0.4,0.1,0.3,Large Cap
10,BEAR,RPRX,91.19,0.9119,2024-01-12,19.6464,-1.2527,0.9308,-0.0391,0.6221,1.0,0.0,0.1083,0.0,0.1083,Large Cap
