rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,MIDD,94.04,0.9404,2024-01-12,37.1096,-0.0318,0.858,-0.0067,0.9267,1.0,0.0,0.325,0.2333,0.0917,Mid Cap
2,BEAR,NOVT,93.65,0.9365,2024-01-12,25.273,-0.9498,0.716,-0.0301,1.5006,1.0,0.0,0.0833,0.4167,-0.3333,Mid Cap
3,BEAR,REXR,93.34,0.9334,2024-01-12,30.1303,-0.2751,0.8194,-0.0156,1.2711,1.0,0.0,0.325,0.2333,0.0917,Mid Cap
4,BEAR,FR,91.44,0.9144,2024-01-12,34.8922,1.342,0.8872,0.014,0.9978,1.0,0.0,0.4,0.1333,0.2667,Mid Cap
5,BEAR,MASI,91.39,0.9139,2024-01-12,31.7856,1.654,0.9566,0.0348,0.4164,1.0,0.0,0.1083,0.35,-0.2417,Mid Cap
6,BEAR,AEIS,91.38,0.9138,2024-01-12,23.0428,-0.9041,0.7795,-0.0289,1.6459,1.0,0.0,0.3333,0.1667,0.1667,Mid Cap
7,BEAR,DINO,91.34,0.9134,2024-01-12,16.3515,1.2365,0.7755,0.0171,0.3479,1.0,0.0,0.0833,0.1667,-0.0833,Mid Cap
8,BEAR,MKSI,91.25,0.9125,2024-01-12,48.1789,3.9665,0.9041,0.1229,1.8398,1.0,0.0,0.1333,0.0,0.1333,Mid Cap
9,BEAR,SITM,91.19,0.9119,2024-01-12,15.5718,-0.1677,0.8452,-0.0106,2.0494,1.0,0.0,0.0583,0.0,0.0583,Mid Cap
10,BEAR,RIVN,90.88,0.9088,2024-01-12,24.4013,-1.4572,0.7455,-0.109,2.7076,1.0,0.0,0.1333,0.0,0.1333,Mid Cap
