rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,DEI,100.0,1.0,2024-01-12,32.2176,-0.2667,0.8369,-0.0198,1.7409,1.0,0.0,0.325,0.525,-0.2,Small Cap
2,BEAR,PDFS,95.0,0.95,2024-01-12,19.8317,-0.8327,0.8397,-0.0303,1.5242,1.0,0.0,0.35,0.5417,-0.1917,Small Cap
3,BEAR,HE,94.96,0.9496,2024-01-12,28.0899,-0.6467,0.8465,-0.0003,-0.0274,1.0,0.0,0.0583,1.034,-1.0128,Small Cap
4,BEAR,JBLU,94.36,0.9436,2024-01-12,21.0605,-2.2242,0.9713,-0.1434,1.6734,1.0,0.0,0.0583,0.4333,-0.375,Small Cap
5,BEAR,SSTK,94.12,0.9412,2024-01-12,39.1372,1.1852,0.8112,0.0213,1.8212,1.0,0.0,0.325,0.2333,0.0917,Small Cap
6,BEAR,DORM,93.11,0.9311,2024-01-12,29.0649,1.2733,0.6034,0.0431,0.8888,1.0,0.0,0.0833,0.1667,-0.0833,Small Cap
7,BEAR,CALX,92.63,0.9263,2024-01-12,23.0321,0.2971,0.613,0.0063,0.9475,1.0,0.0,0.0833,0.25,-0.1667,Small Cap
8,BEAR,FHB,92.34,0.9234,2024-01-12,38.52,-0.5876,0.8202,-0.0123,1.0197,1.0,0.0,0.325,0.175,0.15,Small Cap
9,BEAR,BBT,91.81,0.9181,2024-01-12,32.5417,-1.2175,0.956,-0.0323,1.088,1.0,0.0,0.1083,0.175,-0.0667,Small Cap
10,BEAR,NWN,91.69,0.9169,2024-01-12,21.822,-1.7253,0.7849,-0.0029,0.5325,1.0,0.0,0.0583,0.5417,-0.4833,Small Cap
