rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,CAH,100.0,1.0,2023-12-07,39.4579,2.5518,0.7685,-0.0343,0.2793,1.0,0.0,1.0833,0.0,1.0833,Large Cap
2,BULL,CPRT,97.32,0.9732,2023-12-07,34.7341,1.0757,0.9137,-0.057,1.2957,1.0,0.0,0.7583,0.0583,0.7,Large Cap
3,BULL,WDC,97.01,0.9701,2023-12-07,19.7149,3.1695,0.6678,0.0088,1.077,1.0,0.0,0.6667,0.0,0.6667,Large Cap
4,BULL,TRGP,96.76,0.9676,2023-12-07,13.8445,0.7,0.8341,0.0467,0.4874,1.0,0.0,0.5833,0.0833,0.5,Large Cap
5,BULL,WMB,96.62,0.9662,2023-12-07,18.3329,0.3956,0.885,0.0379,0.4491,1.0,0.0,0.5417,0.0583,0.4833,Large Cap
6,BULL,TTWO,96.38,0.9638,2023-12-07,31.9352,3.2089,0.7592,0.035,0.8126,1.0,0.0,0.5417,0.0,0.5417,Large Cap
7,BULL,UBER,95.64,0.9564,2023-12-07,51.1913,8.3344,0.8779,0.1291,1.6777,1.0,0.0,0.6667,0.0,0.6667,Large Cap
8,BULL,ORCL,94.5,0.945,2023-12-07,24.6469,0.2657,0.5181,-0.0759,1.0042,1.0,0.0,0.5,0.0833,0.4167,Large Cap
9,BULL,CVX,94.4,0.944,2023-12-07,30.0407,0.5292,0.7537,0.0413,0.0858,1.0,0.0,0.1667,0.5333,-0.3667,Large Cap
10,BULL,LIN,94.29,0.9429,2023-12-07,30.1989,1.4135,0.7758,-0.0631,0.6,1.0,0.0,0.65,0.0583,0.5917,Large Cap
