rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,HRB,100.0,1.0,2024-01-12,19.207,-1.2115,0.9816,-0.0177,0.5713,1.0,0.0,1.0833,0.0583,1.0833,Mid Cap
2,BULL,MLI,97.09,0.9709,2024-01-12,34.8113,1.6455,0.8757,0.0304,0.7788,1.0,0.0,1.0833,0.0583,1.025,Mid Cap
3,BULL,AXTA,92.94,0.9294,2024-01-12,32.9182,-0.6468,0.6168,-0.0214,0.9898,1.0,0.0,0.5417,0.2917,0.25,Mid Cap
4,BULL,CVLT,92.84,0.9284,2024-01-12,28.237,1.0928,0.9533,0.0182,1.0377,1.0,0.0,0.6667,0.0333,0.6333,Mid Cap
5,BULL,JHG,92.79,0.9279,2024-01-12,39.4697,0.9214,0.7873,0.0181,0.9678,1.0,0.0,0.5417,0.0583,0.4833,Mid Cap
6,BULL,KBR,91.87,0.9187,2024-01-12,19.7406,0.7709,0.5526,0.0069,-0.0274,1.0,0.0,0.4167,0.25,0.1667,Mid Cap
7,BULL,APG,91.52,0.9152,2024-01-12,38.0952,-0.7977,0.9138,-0.0252,1.2468,1.0,0.0,0.7583,0.0583,0.7,Mid Cap
8,BULL,RYAAY,91.44,0.9144,2024-01-12,40.2775,-1.7004,0.8903,-0.0602,0.85,1.0,0.0,1.0833,0.0583,1.025,Mid Cap
9,BULL,SAIC,91.14,0.9114,2024-01-12,26.7838,-0.1895,0.6497,-0.0089,0.2953,1.0,0.0,0.4,0.0333,0.3667,Mid Cap
10,BULL,MTSI,90.59,0.9059,2024-01-12,32.8732,-2.1685,0.8846,-0.0685,1.7279,1.0,0.0,0.7583,0.0583,0.7,Mid Cap
