rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,PECO,95.88,0.9588,2023-12-07,21.3389,3.1202,0.712,-0.0159,0.6571,1.0,0.0,0.6667,0.0,0.6667,Small Cap
2,BULL,PDFS,93.87,0.9387,2023-12-07,30.1028,2.3039,0.671,-0.0153,1.3218,1.0,0.0,0.4167,0.5,-0.0833,Small Cap
3,BULL,OTTR,93.51,0.9351,2023-12-07,11.4327,0.4129,0.7338,-0.0421,0.6609,1.0,0.0,0.4167,0.0833,0.3333,Small Cap
4,BULL,SPNT,91.96,0.9196,2023-12-07,12.3658,2.0246,0.7798,-0.0477,0.7175,1.0,0.0,0.9333,0.0,0.9333,Small Cap
5,BULL,ARCB,91.92,0.9192,2023-12-07,27.6922,-1.8167,0.941,-0.1581,1.3792,1.0,0.0,0.8667,0.0583,0.8083,Small Cap
6,BULL,KSS,91.8,0.918,2023-12-07,13.3276,0.3573,0.9841,-0.0713,1.3187,1.0,0.0,0.6667,0.0,0.6667,Small Cap
7,BULL,SHEN,91.57,0.9157,2023-12-07,18.9727,-3.1691,0.781,-0.1454,0.2465,1.0,0.0,0.1667,0.0833,0.0833,Small Cap
8,BULL,AVNS,91.49,0.9149,2023-12-07,19.5639,-0.113,0.7716,-0.077,1.0286,1.0,0.0,0.1167,0.4333,-0.3167,Small Cap
9,BULL,OKLO,90.12,0.9012,2023-12-07,40.8184,2.4809,0.8082,-0.0294,0.0054,1.0,0.0,0.0,0.0,0.0,Small Cap
10,BULL,LBRT,89.6,0.896,2023-12-07,13.5602,-1.6411,0.9416,-0.0305,0.4327,1.0,0.0,0.4167,0.0833,0.3333,Small Cap
