rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,FSLR,99.74,0.9974,2024-01-12,18.5617,2.2699,0.7603,0.0873,1.5504,1.0,0.0,0.4083,0.0,0.4083,Large Cap
2,BEAR,DXCM,99.42,0.9942,2024-01-12,25.505,0.7306,0.8093,-0.0012,1.0237,1.0,0.0,0.4,0.1,0.3,Large Cap
3,BEAR,RPRX,99.1,0.991,2024-01-12,19.6464,-1.2527,0.9308,-0.0391,0.6221,1.0,0.0,0.1083,0.0,0.1083,Large Cap
4,BEAR,TCOM,99.03,0.9903,2024-01-12,28.0321,4.2662,0.7118,0.0913,0.2518,1.0,0.0,0.1333,0.0,0.1333,Large Cap
5,BEAR,ARE,98.9,0.989,2024-01-12,41.8461,0.5306,0.84,0.0054,1.5745,1.0,0.0,0.325,0.2333,0.0917,Large Cap
6,BEAR,HPQ,98.19,0.9819,2024-01-12,19.1167,-0.5854,0.9369,-0.0145,0.8339,1.0,0.0,0.325,0.175,0.15,Large Cap
7,BEAR,LITE,97.87,0.9787,2024-01-12,30.9718,2.8933,0.7526,0.0841,2.0852,1.0,0.0,0.325,0.0,0.325,Large Cap
8,BEAR,HBAN,97.68,0.9768,2024-01-12,44.7942,1.1258,0.9218,0.0286,1.0791,1.0,0.0,0.65,0.0,0.65,Large Cap
9,BEAR,USB,97.55,0.9755,2024-01-12,40.682,0.1305,0.8476,0.0046,1.4393,1.0,0.0,0.65,0.0,0.65,Large Cap
10,BEAR,CAG,97.16,0.9716,2024-01-12,15.0251,-2.4654,0.9092,-0.0601,0.2946,1.0,0.0,0.1083,0.35,-0.2417,Large Cap
