rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,RIVN,99.94,0.9994,2024-01-12,24.4013,-1.4572,0.7455,-0.109,2.7076,1.0,0.0,0.1333,0.0,0.1333,Mid Cap
2,BEAR,MKSI,99.87,0.9987,2024-01-12,48.1789,3.9665,0.9041,0.1229,1.8398,1.0,0.0,0.1333,0.0,0.1333,Mid Cap
3,BEAR,SITM,99.81,0.9981,2024-01-12,15.5718,-0.1677,0.8452,-0.0106,2.0494,1.0,0.0,0.0583,0.0,0.0583,Mid Cap
4,BEAR,AN,99.35,0.9935,2024-01-12,19.136,-1.0286,0.8374,-0.0215,1.0333,1.0,0.0,0.0333,0.0,0.0333,Mid Cap
5,BEAR,WAL,98.97,0.9897,2024-01-12,46.4869,0.692,0.8944,0.0269,2.1209,1.0,0.0,0.65,0.0,0.65,Mid Cap
6,BEAR,MIDD,98.84,0.9884,2024-01-12,37.1096,-0.0318,0.858,-0.0067,0.9267,1.0,0.0,0.325,0.2333,0.0917,Mid Cap
7,BEAR,GXO,98.71,0.9871,2024-01-12,18.2882,-0.2582,0.8105,-0.0124,1.2913,1.0,0.0,0.0833,0.0,0.0833,Mid Cap
8,BEAR,COLB,98.64,0.9864,2024-01-12,31.4119,-1.4052,0.8409,-0.0394,1.1642,1.0,0.0,0.1083,0.0,0.1083,Mid Cap
9,BEAR,TNL,97.93,0.9793,2024-01-12,14.4186,0.4891,0.8799,0.0248,1.0387,1.0,0.0,0.325,0.0,0.325,Mid Cap
10,BEAR,SYNA,97.81,0.9781,2024-01-12,24.7043,-0.9807,0.8475,-0.0382,2.0675,1.0,0.0,0.8667,0.0,0.8667,Mid Cap
