rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,SSTK,100.0,1.0,2023-12-07,30.9283,2.8239,0.8589,0.0691,1.6172,1.0,0.0,0.325,0.2333,0.0917,Small Cap
2,BEAR,XNCR,99.94,0.9994,2023-12-07,20.889,3.845,1.0,0.0852,1.0954,1.0,0.0,0.0833,0.0,0.0833,Small Cap
3,BEAR,OXM,99.87,0.9987,2023-12-07,18.89,2.8663,1.0,0.0062,0.9678,1.0,0.0,0.0833,0.0,0.0833,Small Cap
4,BEAR,VSAT,99.81,0.9981,2023-12-07,22.1625,5.3029,0.8867,0.1962,1.4626,1.0,0.0,0.0833,0.9167,-0.8333,Small Cap
5,BEAR,ADT,99.74,0.9974,2023-12-07,14.3794,1.734,0.8071,-0.0294,1.2538,1.0,0.0,0.1083,0.0,0.1083,Small Cap
6,BEAR,BANR,99.68,0.9968,2023-12-07,21.6547,5.1896,0.8507,0.0484,0.6514,1.0,0.0,0.1333,0.0,0.1333,Small Cap
7,BEAR,FBNC,99.61,0.9961,2023-12-07,18.7574,4.283,0.8071,0.0293,0.8093,1.0,0.0,0.4,0.2333,0.1667,Small Cap
8,BEAR,DNOW,99.55,0.9955,2023-12-07,23.5742,1.4882,0.8572,-0.0374,0.6736,1.0,0.0,0.0583,0.0,0.0583,Small Cap
9,BEAR,CC,99.48,0.9948,2023-12-07,27.3171,5.0345,0.9324,0.0834,1.0173,1.0,0.0,0.0833,0.1667,-0.0833,Small Cap
10,BEAR,HTH,99.42,0.9942,2023-12-07,31.0481,4.6037,0.9085,0.0095,0.8787,1.0,0.0,0.1333,0.0,0.1333,Small Cap
