rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,MOS,3.72,0.9135,2024-01-12,15.9236,-3.3039,0.8293,-0.1178,0.8764,1.0,0.0,0.1667,0.5333,-0.3667
2,BULL,FOXF,3.72,0.9116,2024-01-12,14.3718,0.5934,0.5173,0.0301,0.7629,1.0,0.0,0.0,0.8,-0.8
3,BULL,EXTR,3.72,0.8192,2024-01-12,24.6162,-3.0201,0.5186,-0.1151,0.6277,1.0,0.0,0.1333,0.1333,0.0
4,BULL,PAYC,3.72,0.8012,2024-01-12,18.2609,-0.1021,0.5173,-0.009,0.1656,1.0,0.0,0.0,0.4,-0.4
5,BULL,IRDM,3.72,0.7889,2024-01-12,21.2115,-1.7418,0.7237,-0.0634,0.9996,1.0,0.0,0.0,0.8,-0.8
6,BULL,CLB,3.72,0.7437,2024-01-12,35.2615,-2.5585,0.7003,-0.1317,0.507,1.0,0.0,0.0,0.1333,-0.1333
7,BULL,DGII,3.72,0.7069,2024-01-12,17.7154,-0.9166,0.7837,-0.0349,0.8708,1.0,0.0,0.0,0.6667,-0.6667
8,BULL,MTZ,3.72,0.6953,2024-01-12,27.3249,0.2494,0.6986,0.0028,0.9946,1.0,0.0,0.0,0.65,-0.65
9,BULL,LNTH,3.72,0.6475,2024-01-12,26.0454,-4.8154,0.6946,-0.1871,0.307,1.0,0.0,0.1667,0.4,-0.2333
10,BULL,SOUN,3.17,0.9509,2024-01-12,11.062,-2.4578,0.7949,-0.1871,2.6499,1.0,0.0,0.0,0.1333,-0.1333
11,BULL,ALGT,3.17,0.9387,2024-01-12,26.1977,-0.5038,0.9215,-0.0268,1.1488,1.0,0.0,0.1167,0.4333,-0.3167
12,BULL,QUBT,3.17,0.9348,2024-01-12,14.4944,-0.186,0.7733,-0.0045,2.2418,1.0,0.0,0.1667,0.1333,0.0333
13,BULL,TGTX,3.17,0.9238,2024-01-12,41.0572,-0.5866,1.0,-0.0798,2.3774,1.0,0.0,0.0,0.4167,-0.4167
14,BULL,TNDM,3.17,0.9148,2024-01-12,24.8035,0.1739,0.9294,-0.0133,1.3512,1.0,0.0,0.0,0.0833,-0.0833
15,BULL,CALY,3.17,0.8954,2024-01-12,21.8097,0.485,0.8427,0.031,2.1191,1.0,0.0,0.0,0.1083,-0.1083
16,BULL,ICUI,3.17,0.8709,2024-01-12,22.7695,0.8931,0.7592,0.0131,1.4357,1.0,0.0,0.0,1.034,-1.0128
17,BULL,PSKY,3.17,0.8651,2024-01-12,17.7375,-3.3834,0.7685,-0.1804,1.3265,1.0,0.0,0.0667,0.5333,-0.4667
18,BULL,ASTS,3.17,0.858,2024-01-12,29.1064,-2.3546,0.8982,-0.1871,1.9544,1.0,0.0,0.1,0.4,-0.3
19,BULL,ILMN,3.17,0.8522,2024-01-12,32.9338,1.9427,0.9476,0.0628,1.3328,1.0,0.0,0.2167,0.0583,0.1583
20,BULL,BILL,3.17,0.8425,2024-01-12,20.1421,0.0887,0.5173,0.0007,1.4259,1.0,0.0,0.0,0.2667,-0.2667
21,BULL,ACLS,3.17,0.7747,2024-01-12,26.7767,-3.3651,0.6398,-0.1449,2.0072,1.0,0.0,0.0,0.1333,-0.1333
22,BULL,PODD,3.17,0.7637,2024-01-12,29.3311,-0.5886,0.8218,-0.0445,1.6288,1.0,0.0,0.0,0.5,-0.5
23,BULL,MXL,3.17,0.7353,2024-01-12,26.4745,0.9532,0.732,0.0323,2.7076,1.0,0.0,0.1667,0.0833,0.0833
24,BULL,NGVT,3.17,0.7295,2024-01-12,21.7292,-1.0402,0.9234,-0.0524,1.5083,1.0,0.0,0.0,0.5333,-0.5333
25,BULL,VSAT,3.17,0.6985,2024-01-12,36.6377,0.0632,0.9197,0.0001,1.2353,1.0,0.0,0.0,1.0,-1.0
26,BULL,ETSY,3.17,0.6708,2024-01-12,23.7214,-3.9411,0.8049,-0.1666,1.4262,1.0,0.0,0.0,0.5333,-0.5333
27,BULL,SEDG,3.17,0.6643,2024-01-12,23.2124,-1.5569,0.5406,-0.11,2.6583,1.0,0.0,0.0,0.6667,-0.6667
28,BULL,SMTC,3.17,0.6546,2024-01-12,24.1656,-2.6425,0.6067,-0.1232,2.7076,1.0,0.0,0.0,1.034,-1.0128
29,BULL,UPST,3.17,0.6533,2024-01-12,23.5928,-3.0202,0.8644,-0.1871,2.7076,1.0,0.0,0.0,0.0833,-0.0833
30,BULL,AA,3.17,0.6346,2024-01-12,26.4245,3.2375,0.8338,0.133,1.6962,1.0,0.0,0.0,0.3333,-0.3333
