rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,FFIV,99.94,0.9994,2024-01-12,24.4702,0.913,0.6026,0.0093,0.5549,1.0,0.0,0.5417,0.0583,0.4833,Large Cap
2,BULL,NTAP,99.74,0.9974,2024-01-12,23.3533,-1.6074,0.6637,-0.03,0.7514,1.0,0.0,0.5417,0.0,0.5417,Large Cap
3,BULL,TXT,99.55,0.9955,2024-01-12,13.989,0.5347,0.6697,0.0018,0.5856,1.0,0.0,0.2167,0.0583,0.1583,Large Cap
4,BULL,PRU,99.48,0.9948,2024-01-12,36.5839,-0.6128,0.6797,-0.0073,0.6821,1.0,0.0,0.325,0.0,0.325,Large Cap
5,BULL,D,99.35,0.9935,2024-01-12,21.9187,-2.132,0.7559,-0.0131,0.611,1.0,0.0,0.1667,0.6667,-0.5,Large Cap
6,BULL,CVS,98.97,0.9897,2024-01-12,31.4657,0.7606,0.955,-0.0064,0.3874,1.0,0.0,0.0,0.525,-0.525,Large Cap
7,BULL,WRB,98.9,0.989,2024-01-12,19.4118,0.5874,0.7803,0.0104,0.1277,1.0,0.0,0.0,0.0333,-0.0333,Large Cap
8,BULL,AXP,98.64,0.9864,2024-01-12,41.9645,2.7675,0.8265,0.0467,0.9337,1.0,0.0,0.5417,0.0583,0.4833,Large Cap
9,BULL,ITW,98.45,0.9845,2024-01-12,34.5515,0.7337,0.6682,0.0034,0.4651,1.0,0.0,0.325,0.0,0.325,Large Cap
10,BULL,CSCO,98.39,0.9839,2024-01-12,13.6876,1.684,0.5256,0.0176,0.6388,1.0,0.0,0.0,0.175,-0.175,Large Cap
