rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,MUSA,99.94,0.9994,2023-12-07,16.9297,-0.7925,0.8692,-0.1071,0.2881,1.0,0.0,0.4333,0.0583,0.375,Mid Cap
2,BULL,CHH,98.9,0.989,2023-12-07,16.8598,0.3723,0.8119,-0.0836,0.8167,1.0,0.0,0.0,0.1333,-0.1333,Mid Cap
3,BULL,SBRA,98.84,0.9884,2023-12-07,24.677,1.9415,0.8068,-0.0288,0.8868,1.0,0.0,0.2167,0.0,0.2167,Mid Cap
4,BULL,TNET,98.51,0.9851,2023-12-07,18.3963,3.8849,0.8181,0.0022,0.6243,1.0,0.0,0.5333,0.1,0.4333,Mid Cap
5,BULL,RYAAY,98.13,0.9813,2023-12-07,52.5562,8.1726,0.8707,0.0956,0.7557,1.0,0.0,0.6667,0.0,0.6667,Mid Cap
6,BULL,KBR,98.06,0.9806,2023-12-07,30.6539,0.8572,0.6555,-0.0616,0.035,1.0,0.0,0.2917,0.325,-0.0333,Mid Cap
7,BULL,BYDDY,98.0,0.98,2023-12-07,24.6637,-3.5262,0.8223,-0.1,0.4693,1.0,0.0,0.1667,0.4,-0.2333,Mid Cap
8,BULL,GWRE,97.8,0.978,2023-12-07,32.4041,2.8363,0.899,-0.0117,1.2969,1.0,0.0,0.2667,0.0333,0.2333,Mid Cap
9,BULL,OLED,97.74,0.9774,2023-12-07,34.9419,4.3336,0.8813,0.0399,1.3575,1.0,0.0,0.4,0.0,0.4,Mid Cap
10,BULL,WWD,97.48,0.9748,2023-12-07,16.6337,0.9507,1.0,-0.0574,0.7086,1.0,0.0,0.4,0.0333,0.3667,Mid Cap
