rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,SCSC,99.87,0.9987,2024-01-12,23.5481,-0.0822,0.9474,-0.0053,1.0209,1.0,0.0,0.0,0.0583,-0.0583,Small Cap
2,BULL,SHEN,99.29,0.9929,2024-01-12,22.0094,-0.9314,0.669,-0.0467,0.2731,1.0,0.0,0.0,0.4,-0.4,Small Cap
3,BULL,IOSP,99.23,0.9923,2024-01-12,37.6412,1.4198,0.8348,0.0172,0.6374,1.0,0.0,0.325,0.0583,0.2667,Small Cap
4,BULL,SNDR,99.1,0.991,2024-01-12,16.1671,-0.3122,0.6479,-0.0131,0.4517,1.0,0.0,0.0,0.1333,-0.1333,Small Cap
5,BULL,JXN,98.77,0.9877,2024-01-12,30.6755,-0.3601,0.7293,-0.0069,0.9322,1.0,0.0,0.975,0.0583,0.9167,Small Cap
6,BULL,CCOI,98.71,0.9871,2024-01-12,29.9993,1.8525,0.7214,0.0231,0.5738,1.0,0.0,0.0,0.0583,-0.0583,Small Cap
7,BULL,BXMT,97.74,0.9774,2024-01-12,13.0046,-0.8352,0.7947,-0.0221,1.4756,1.0,0.0,0.0,0.0,0.0,Small Cap
8,BULL,KWR,97.68,0.9768,2024-01-12,30.8415,0.4443,0.9054,0.0015,1.3306,1.0,0.0,0.2167,0.0583,0.1583,Small Cap
9,BULL,PAYO,97.48,0.9748,2024-01-12,13.8476,-1.9819,0.6402,-0.0686,1.458,1.0,0.0,0.0,0.4,-0.4,Small Cap
10,BULL,MKTX,97.42,0.9742,2024-01-12,38.0744,-0.3073,0.7572,-0.0065,1.0217,1.0,0.0,0.4167,0.0833,0.3333,Small Cap
