rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,ALGM,3.33,0.9619,2023-12-07,17.1142,1.3716,0.6896,-0.0354,1.4709,1.0,0.0,0.0,0.5333,-0.5333
2,BULL,XPEL,3.33,0.9476,2023-12-07,37.0508,1.872,0.5181,-0.0143,1.0825,1.0,0.0,0.0,0.325,-0.325
3,BULL,RKLB,3.33,0.936,2023-12-07,13.6479,1.6577,0.5758,0.0014,1.4647,1.0,0.0,0.0,0.25,-0.25
4,BULL,GMED,3.33,0.9334,2023-12-07,15.1349,-0.4303,0.7887,-0.0856,0.778,1.0,0.0,0.0,0.1333,-0.1333
5,BULL,PAYC,3.33,0.9328,2023-12-07,31.9891,2.7809,0.5181,0.0233,0.0521,1.0,0.0,0.0,0.325,-0.325
6,BULL,FWRD,3.33,0.9321,2023-12-07,11.6936,-0.3158,0.5993,-0.0894,0.5904,1.0,0.0,0.0,0.8,-0.8
7,BULL,ENPH,3.33,0.9289,2023-12-07,23.3831,7.2193,0.691,0.2512,1.769,1.0,0.0,0.0,0.25,-0.25
8,BULL,CENX,3.33,0.9282,2023-12-07,27.0732,3.1022,0.9339,0.078,1.6007,1.0,0.0,0.0,0.1083,-0.1083
9,BULL,TGTX,3.33,0.9224,2023-12-07,54.3866,6.7019,1.0,0.2943,1.9028,1.0,0.0,0.0,0.175,-0.175
10,BULL,AOSL,3.33,0.9179,2023-12-07,21.3601,1.6395,0.7215,-0.0168,1.4537,1.0,0.0,0.2917,0.1083,0.1833
11,BULL,FOXF,3.33,0.914,2023-12-07,38.4234,2.1286,0.5181,-0.0014,0.7617,1.0,0.0,0.0,0.65,-0.65
12,BULL,ILMN,3.33,0.9005,2023-12-07,33.0508,1.2704,0.9093,-0.0173,1.059,1.0,0.0,0.0,0.325,-0.325
13,BULL,SEDG,3.33,0.8895,2023-12-07,24.8821,2.1043,0.5181,0.0428,2.0129,1.0,0.0,0.0,0.65,-0.65
14,BULL,EMBC,3.33,0.8856,2023-12-07,25.1664,3.0922,0.8441,0.0604,1.7617,1.0,0.0,0.0,0.5,-0.5
15,BULL,STAA,3.33,0.8843,2023-12-07,26.3285,-1.4389,0.6204,-0.149,1.2071,1.0,0.0,0.1667,0.1333,0.0333
16,BULL,OMCL,3.33,0.8824,2023-12-07,24.6279,2.8949,0.6985,0.0545,0.654,1.0,0.0,0.0,0.9167,-0.8333
17,BULL,ALGN,3.33,0.8778,2023-12-07,19.6155,3.2626,0.5629,0.0385,2.1488,1.0,0.0,0.0,0.1083,-0.1083
18,BULL,MPT,3.33,0.8765,2023-12-07,16.8449,0.3721,0.894,-0.052,1.8295,1.0,0.0,0.0,0.9167,-0.8333
19,BULL,CALY,3.33,0.8597,2023-12-07,15.9798,0.3923,0.8174,-0.0744,1.7185,1.0,0.0,0.0,0.1083,-0.1083
20,BULL,PFE,3.33,0.8584,2023-12-07,21.7504,-2.441,0.8677,-0.134,0.3684,1.0,0.0,0.0,0.8,-0.8
21,BULL,IRDM,3.33,0.8513,2023-12-07,23.8987,2.3778,0.7324,0.0235,0.7748,1.0,0.0,0.0,0.65,-0.65
22,BULL,ASTE,3.33,0.8487,2023-12-07,44.1482,1.2681,0.5804,-0.0319,0.3237,1.0,0.0,0.0,0.65,-0.65
23,BULL,BABA,3.33,0.8436,2023-12-07,25.54,-3.5262,0.7795,-0.1283,0.8113,1.0,0.0,0.0,0.5333,-0.5333
24,BULL,ALB,3.33,0.8332,2023-12-07,20.3875,0.918,0.8917,-0.0304,1.9287,1.0,0.0,0.0,0.4333,-0.4333
25,BULL,HLIT,3.33,0.8287,2023-12-07,29.8117,-1.2413,0.7686,-0.1344,0.892,1.0,0.0,0.0,0.9167,-0.8333
26,BULL,GME,3.33,0.8274,2023-12-07,29.3691,2.5654,1.0,0.1167,1.2027,1.0,0.0,0.0,0.1667,-0.1667
27,BULL,LUMN,3.33,0.8229,2023-12-07,14.8667,1.1245,0.8867,0.0651,0.6606,1.0,0.0,0.0,0.0833,-0.0833
28,BULL,EXTR,3.33,0.8216,2023-12-07,42.449,-0.3907,0.5264,-0.0953,0.8472,1.0,0.0,0.1333,0.1333,0.0
29,BULL,INSP,3.33,0.797,2023-12-07,15.2387,4.2856,0.7533,0.1399,1.4058,1.0,0.0,0.0,0.9167,-0.8333
30,BULL,CALX,3.33,0.7919,2023-12-07,16.0883,3.6648,0.633,0.045,1.2613,1.0,0.0,0.0,0.5,-0.5
1,BEAR,SSTK,3.33,1.0,2023-12-07,30.9283,2.8239,0.8589,0.0691,1.6172,1.0,0.0,0.325,0.2333,0.0917
2,BEAR,XNCR,3.33,0.9994,2023-12-07,20.889,3.845,1.0,0.0852,1.0954,1.0,0.0,0.0833,0.0,0.0833
3,BEAR,VSAT,3.33,0.9981,2023-12-07,22.1625,5.3029,0.8867,0.1962,1.4626,1.0,0.0,0.0833,0.9167,-0.8333
