rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,MTB,98.8,0.988,2023-12-07,27.8321,4.5481,0.8635,0.0182,1.023,1.0,0.0,0.0,0.1333,-0.1333,-48.1,-57.84,-63.21,Large Cap
2,BEAR,CVX,95.01,0.9501,2023-12-07,30.0407,0.5292,0.7537,0.0444,0.0858,1.0,0.0,0.1667,0.4,-0.2333,-37.66,-47.65,-53.31,Large Cap
3,BEAR,CHTR,94.67,0.9467,2023-12-07,37.5648,-3.4408,0.8775,-0.1521,1.0269,1.0,0.0,0.0,0.0,0.0,-34.08,-43.8,-49.6,Large Cap
4,BEAR,VEEV,94.43,0.9443,2023-12-07,19.9274,-3.5262,0.8167,-0.1826,0.8871,1.0,0.0,0.0,0.0,0.0,-30.58,-39.85,-45.56,Large Cap
5,BEAR,CIEN,94.3,0.943,2023-12-07,16.447,2.5018,0.9581,-0.0077,1.0164,1.0,0.0,0.0,0.0,0.0,-28.86,-37.81,-43.53,Large Cap
6,BEAR,XOM,94.27,0.9427,2023-12-07,23.9535,-1.651,0.7423,-0.0019,0.0457,1.0,0.0,0.0,0.4,-0.4,-28.14,-36.91,-42.6,Large Cap
7,BEAR,J,94.23,0.9423,2023-12-07,19.3042,-1.3874,0.7965,-0.1121,0.6366,1.0,0.0,0.0,0.2167,-0.2167,-26.82,-35.38,-41.02,Large Cap
8,BEAR,EQT,93.88,0.9388,2023-12-07,23.8993,-2.1629,0.8287,-0.0417,0.5674,1.0,0.0,0.0,0.0,0.0,-24.35,-32.37,-37.77,Large Cap
9,BEAR,APP,93.82,0.9382,2023-12-07,13.2555,-1.8938,0.7049,-0.1634,1.7693,1.0,0.0,0.0,0.0,0.0,-23.93,-31.89,-37.22,Large Cap
10,BEAR,ODFL,93.75,0.9375,2023-12-07,15.3629,-1.1939,0.8353,-0.1181,1.1169,1.0,0.0,0.0,0.0,0.0,-23.55,-31.41,-36.69,Large Cap
