rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,NOV,100.0,1.0,2023-12-07,23.7713,-0.3954,0.8239,0.021,0.4691,1.0,0.0,0.0,0.4128,-0.4128,-99.74,-99.75,-99.8,Mid Cap
2,BEAR,JAZZ,99.25,0.9925,2023-12-07,29.6421,-2.3943,0.8346,-0.1434,0.6139,1.0,0.0,0.0,0.2667,-0.2667,-55.83,-64.77,-69.77,Mid Cap
3,BEAR,CDP,94.61,0.9461,2023-12-07,14.1386,2.2802,0.9445,-0.0193,0.9973,1.0,0.0,0.0,0.0,0.0,-32.76,-42.33,-48.07,Mid Cap
4,BEAR,ATI,94.12,0.9412,2023-12-07,28.6292,-2.4273,0.9352,-0.1622,1.0891,1.0,0.0,0.1,0.0,0.1,-25.74,-34.06,-39.6,Mid Cap
5,BEAR,SAM,93.73,0.9373,2023-12-07,16.7302,1.2277,0.5874,-0.0172,0.5117,1.0,0.0,0.0,0.175,-0.175,-23.18,-30.96,-36.19,Mid Cap
6,BEAR,MKSI,93.45,0.9345,2023-12-07,40.7102,6.1523,0.8366,0.1063,1.5112,1.0,0.0,0.0,0.0,0.0,-21.6,-28.95,-33.98,Mid Cap
7,BEAR,BURL,93.33,0.9333,2023-12-07,42.1654,8.8532,0.8008,0.1953,0.9185,1.0,0.0,0.0,0.0,0.0,-20.8,-27.94,-32.82,Mid Cap
8,BEAR,GRAB,93.2,0.932,2023-12-07,21.018,-0.7759,0.6742,-0.1035,0.5701,1.0,0.0,0.0,0.0,0.0,-20.31,-27.32,-32.11,Mid Cap
9,BEAR,AMH,93.18,0.9318,2023-12-07,22.2311,-0.3207,0.8861,-0.0824,1.0055,1.0,0.0,0.0,0.2167,-0.2167,-20.09,-27.03,-31.78,Mid Cap
10,BEAR,NLY,93.08,0.9308,2023-12-07,20.5561,1.667,0.6989,-0.0615,1.1848,1.0,0.0,0.0,0.0,0.0,-19.65,-26.46,-31.14,Mid Cap
