rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,VYX,96.25,0.9625,2023-12-07,14.1052,-1.8089,0.8116,-0.1377,1.0571,1.0,0.0,0.0,0.2667,-0.2667,-43.39,-53.33,-58.92,Small Cap
2,BEAR,KFY,95.34,0.9534,2023-12-07,37.0588,5.215,1.0,0.0423,0.8417,1.0,0.0,0.0,0.1,-0.1,-40.08,-50.03,-55.8,Small Cap
3,BEAR,GEO,94.73,0.9473,2023-12-07,41.1628,2.2727,0.952,0.0043,0.8599,1.0,0.0,0.0,0.0,0.0,-35.71,-45.53,-51.28,Small Cap
4,BEAR,PRGO,94.49,0.9449,2023-12-07,20.5699,1.8202,0.954,-0.0131,0.8086,1.0,0.0,0.0,0.0,0.0,-31.57,-41.0,-46.72,Small Cap
5,BEAR,PAYO,94.37,0.9437,2023-12-07,19.5234,-2.2808,0.7854,-0.1826,1.3547,1.0,0.0,0.0,0.0,0.0,-29.68,-38.78,-44.49,Small Cap
6,BEAR,EZPW,94.24,0.9424,2023-12-07,12.8443,1.8039,0.9955,-0.0479,0.4276,1.0,0.0,0.0,0.0,0.0,-27.45,-36.11,-41.78,Small Cap
7,BEAR,MGY,94.18,0.9418,2023-12-07,14.1873,-0.7548,0.9357,0.0106,0.2916,1.0,0.0,0.1667,0.0,0.1667,-26.26,-34.71,-40.28,Small Cap
8,BEAR,CSR,94.0,0.94,2023-12-07,22.985,1.4275,0.7801,-0.0382,1.1752,1.0,0.0,0.2917,0.0,0.2917,-25.24,-33.44,-38.95,Small Cap
9,BEAR,SHEN,93.94,0.9394,2023-12-07,18.9727,-3.1691,0.781,-0.1455,0.2465,1.0,0.0,0.0,0.0,0.0,-24.79,-32.91,-38.34,Small Cap
10,BEAR,NE,93.69,0.9369,2023-12-07,20.0056,-2.8054,0.9519,-0.0706,0.441,1.0,0.0,0.0,0.0,0.0,-22.83,-30.54,-35.72,Small Cap
