rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,RPRX,94.86,0.9486,2023-12-07,16.4756,2.2913,0.8538,0.004,0.4548,1.0,0.0,0.0,0.0,0.0,45.23,67.26,87.82,Large Cap
2,BULL,MKC,94.8,0.948,2023-12-07,18.8794,1.9656,0.6154,-0.0077,0.4781,1.0,0.0,0.0,0.3333,-0.3333,42.87,63.64,82.73,Large Cap
3,BULL,IFF,94.68,0.9468,2023-12-07,35.5893,3.8964,0.6369,-0.0015,0.4344,1.0,0.0,0.0,0.0,0.0,38.0,55.99,72.11,Large Cap
4,BULL,NEE,94.51,0.9451,2023-12-07,22.4426,2.003,0.6325,-0.0037,0.3757,1.0,0.0,0.0833,0.0,0.0833,33.77,49.67,63.36,Large Cap
5,BULL,TFC,94.49,0.9449,2023-12-07,40.9597,5.0723,0.8374,0.0293,1.1609,1.0,0.0,0.0,0.0,0.0,32.95,48.42,61.73,Large Cap
6,BULL,ALNY,94.43,0.9443,2023-12-07,15.4285,1.5188,0.7755,-0.0278,0.4989,1.0,0.0,0.0,0.0,0.0,32.21,47.28,60.26,Large Cap
7,BULL,COHR,94.31,0.9431,2023-12-07,33.8319,4.3529,0.7549,0.0756,1.9652,1.0,0.0,0.0,0.0,0.0,30.88,45.34,57.61,Large Cap
8,BULL,CAG,93.82,0.9382,2023-12-07,22.2037,4.5708,0.681,0.0267,0.1694,1.0,0.0,0.0,0.0,0.0,26.63,38.99,49.29,Large Cap
9,BULL,MAA,93.21,0.9321,2023-12-07,18.3478,2.4842,0.7524,-0.0252,0.9884,1.0,0.0,0.0,0.0,0.0,23.42,34.15,43.19,Large Cap
10,BULL,DOC,92.99,0.9299,2023-12-07,23.8805,4.6924,0.8395,0.0541,1.3177,1.0,0.0,0.1083,0.0,0.1083,22.74,33.14,41.93,Large Cap
