rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,SSD,97.94,0.9794,2023-12-07,40.9558,9.6155,0.8959,0.1505,0.9681,1.0,0.0,0.6667,0.0,0.6667,86.48,134.15,178.67,Mid Cap
2,BULL,UTHR,95.34,0.9534,2023-12-07,20.265,3.5717,0.772,-0.0033,0.2336,1.0,0.0,0.6667,0.0,0.6667,57.44,87.43,115.04,Mid Cap
3,BULL,XPO,94.86,0.9486,2023-12-07,24.0374,-0.4392,0.844,-0.0961,1.4466,1.0,0.0,0.2167,0.0583,0.1583,48.04,71.87,94.55,Mid Cap
4,BULL,HIMS,94.7,0.947,2023-12-07,47.9017,5.3913,0.9061,0.1437,1.2071,1.0,0.0,0.2667,0.0,0.2667,39.41,58.09,75.03,Mid Cap
5,BULL,IPGP,94.62,0.9462,2023-12-07,17.5759,3.517,0.8176,0.0068,0.8931,1.0,0.0,0.0,0.0,0.0,36.78,54.14,69.49,Mid Cap
6,BULL,NJR,94.59,0.9459,2023-12-07,13.4288,3.7458,0.8949,0.016,0.3969,1.0,0.0,0.4333,0.0,0.4333,35.68,52.46,67.18,Mid Cap
7,BULL,RDW,94.37,0.9437,2023-12-07,17.8952,2.7237,0.5181,0.0674,1.8944,1.0,0.0,0.0,0.0,0.0,31.53,46.28,58.88,Mid Cap
8,BULL,PL,94.08,0.9408,2023-12-07,26.5363,3.8495,0.6656,0.0217,1.6839,1.0,0.0,0.0833,0.0,0.0833,28.71,42.11,53.32,Mid Cap
9,BULL,BBWI,94.05,0.9405,2023-12-07,25.2008,4.3196,0.9756,0.0723,0.9277,1.0,0.0,0.6667,0.0,0.6667,28.25,41.41,52.41,Mid Cap
10,BULL,CRUS,93.51,0.9351,2023-12-07,21.2474,3.6503,0.7746,0.0086,0.98,1.0,0.0,0.0,0.1167,-0.1167,25.31,36.96,46.75,Mid Cap
