rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,PDFS,100.0,1.0,2023-12-07,30.1028,2.3039,0.671,-0.0127,1.3218,1.0,0.0,0.4167,0.25,0.1667,43488.89,46833.34,83233.34,Small Cap
2,BULL,PLAB,96.17,0.9617,2023-12-07,21.326,2.5379,0.5863,-0.0129,1.456,1.0,0.0,0.4167,0.0,0.4167,66.67,101.91,135.59,Small Cap
3,BULL,SBH,94.95,0.9495,2023-12-07,32.7457,4.8156,0.9196,0.1148,1.345,1.0,0.0,0.325,0.2333,0.0917,51.73,78.38,102.8,Small Cap
4,BULL,LZ,94.74,0.9474,2023-12-07,25.3017,-0.6888,0.7363,-0.1021,0.7295,1.0,0.0,0.0,0.0,0.0,40.97,60.63,78.43,Small Cap
5,BULL,MKTX,94.55,0.9455,2023-12-07,28.2679,5.3771,0.827,0.0581,1.2113,1.0,0.0,0.0,0.2333,-0.2333,34.67,50.99,65.17,Small Cap
6,BULL,KMPR,94.25,0.9425,2023-12-07,24.3104,6.1924,0.6908,0.0622,0.9434,1.0,0.0,0.0,0.0,0.0,30.28,44.44,56.42,Small Cap
7,BULL,DAN,94.19,0.9419,2023-12-07,27.8458,5.5679,0.7585,0.0672,1.0152,1.0,0.0,0.0,0.0,0.0,29.72,43.61,55.34,Small Cap
8,BULL,AIN,94.12,0.9412,2023-12-07,12.4274,3.14,0.8182,-0.0073,0.8136,1.0,0.0,0.0,0.0,0.0,29.19,42.85,54.3,Small Cap
9,BULL,PENG,94.0,0.94,2023-12-07,18.4017,3.3769,0.5181,0.0456,2.3412,1.0,0.0,0.0,0.0,0.0,27.81,40.76,51.57,Small Cap
10,BULL,DORM,93.94,0.9394,2023-12-07,20.9377,4.3163,0.6559,0.0353,0.7464,1.0,0.0,0.0,0.0,0.0,27.4,40.14,50.76,Small Cap
