rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,CHTR,99.94,0.9994,2023-12-07,37.5648,-3.4408,0.8775,-0.1521,1.0269,1.0,0.0,0.0,0.0,0.0,-55.83,-64.77,-69.77,Large Cap
2,BEAR,VEEV,99.68,0.9968,2023-12-07,19.9274,-3.5262,0.8167,-0.1826,0.8871,1.0,0.0,0.0,0.0,0.0,-37.66,-47.65,-53.31,Large Cap
3,BEAR,CIEN,99.55,0.9955,2023-12-07,16.447,2.5018,0.9581,-0.0077,1.0164,1.0,0.0,0.0,0.0,0.0,-34.08,-43.8,-49.6,Large Cap
4,BEAR,MTB,99.29,0.9929,2023-12-07,27.8321,4.5481,0.8635,0.0182,1.023,1.0,0.0,0.0,0.1333,-0.1333,-29.68,-38.78,-44.49,Large Cap
5,BEAR,EQT,99.1,0.991,2023-12-07,23.8993,-2.1629,0.8287,-0.0417,0.5674,1.0,0.0,0.0,0.0,0.0,-27.45,-36.11,-41.78,Large Cap
6,BEAR,APP,99.03,0.9903,2023-12-07,13.2555,-1.8938,0.7049,-0.1634,1.7693,1.0,0.0,0.0,0.0,0.0,-26.82,-35.38,-41.02,Large Cap
7,BEAR,ODFL,98.97,0.9897,2023-12-07,15.3629,-1.1939,0.8353,-0.1181,1.1169,1.0,0.0,0.0,0.0,0.0,-26.26,-34.71,-40.28,Large Cap
8,BEAR,MS,98.58,0.9858,2023-12-07,21.8943,2.7608,0.7472,-0.0427,1.0646,1.0,0.0,0.0,0.0,0.0,-23.55,-31.41,-36.69,Large Cap
9,BEAR,JBL,98.45,0.9845,2023-12-07,24.5159,-2.6869,0.8954,-0.1613,1.2914,1.0,0.0,0.0,0.0,0.0,-22.83,-30.54,-35.72,Large Cap
10,BEAR,BF-B,98.13,0.9813,2023-12-07,17.6339,-2.4827,0.9811,-0.1147,0.6724,1.0,0.0,0.0,0.0,0.0,-21.31,-28.6,-33.58,Large Cap
