rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,CDP,99.87,0.9987,2023-12-07,14.1386,2.2802,0.9445,-0.0193,0.9973,1.0,0.0,0.0,0.0,0.0,-48.1,-57.84,-63.21,Mid Cap
2,BEAR,JAZZ,99.81,0.9981,2023-12-07,29.6421,-2.3943,0.8346,-0.1434,0.6139,1.0,0.0,0.0,0.2667,-0.2667,-43.39,-53.33,-58.92,Mid Cap
3,BEAR,ATI,99.35,0.9935,2023-12-07,28.6292,-2.4273,0.9352,-0.1622,1.0891,1.0,0.0,0.1,0.0,0.1,-30.58,-39.85,-45.56,Mid Cap
4,BEAR,MKSI,98.64,0.9864,2023-12-07,40.7102,6.1523,0.8366,0.1063,1.5112,1.0,0.0,0.0,0.0,0.0,-23.93,-31.89,-37.22,Mid Cap
5,BEAR,BURL,98.51,0.9851,2023-12-07,42.1654,8.8532,0.8008,0.1953,0.9185,1.0,0.0,0.0,0.0,0.0,-23.18,-30.96,-36.19,Mid Cap
6,BEAR,GRAB,98.38,0.9838,2023-12-07,21.018,-0.7759,0.6742,-0.1035,0.5701,1.0,0.0,0.0,0.0,0.0,-22.5,-30.12,-35.26,Mid Cap
7,BEAR,NLY,98.25,0.9825,2023-12-07,20.5561,1.667,0.6989,-0.0615,1.1848,1.0,0.0,0.0,0.0,0.0,-21.88,-29.32,-34.39,Mid Cap
8,BEAR,NOV,98.0,0.98,2023-12-07,23.7713,-0.3954,0.8239,0.021,0.4691,1.0,0.0,0.0,0.4128,-0.4128,-20.8,-27.94,-32.82,Mid Cap
9,BEAR,HR,97.87,0.9787,2023-12-07,19.3825,2.5323,0.97,0.0045,1.0182,1.0,0.0,0.0,0.0,0.0,-20.31,-27.32,-32.11,Mid Cap
10,BEAR,FTI,97.8,0.978,2023-12-07,16.6364,-2.8914,0.92,-0.069,0.0464,1.0,0.0,0.0,0.0,0.0,-20.09,-27.03,-31.78,Mid Cap
