rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,GEO,100.0,1.0,2023-12-07,41.1628,2.2727,0.952,0.0043,0.8599,1.0,0.0,0.0,0.0,0.0,-99.74,-99.75,-99.8,Small Cap
2,BEAR,PRGO,99.74,0.9974,2023-12-07,20.5699,1.8202,0.954,-0.0131,0.8086,1.0,0.0,0.0,0.0,0.0,-40.08,-50.03,-55.8,Small Cap
3,BEAR,PAYO,99.61,0.9961,2023-12-07,19.5234,-2.2808,0.7854,-0.1826,1.3547,1.0,0.0,0.0,0.0,0.0,-35.71,-45.53,-51.28,Small Cap
4,BEAR,EZPW,99.48,0.9948,2023-12-07,12.8443,1.8039,0.9955,-0.0479,0.4276,1.0,0.0,0.0,0.0,0.0,-32.76,-42.33,-48.07,Small Cap
5,BEAR,MGY,99.42,0.9942,2023-12-07,14.1873,-0.7548,0.9357,0.0106,0.2916,1.0,0.0,0.1667,0.0,0.1667,-31.57,-41.0,-46.72,Small Cap
6,BEAR,CSR,99.22,0.9922,2023-12-07,22.985,1.4275,0.7801,-0.0382,1.1752,1.0,0.0,0.2917,0.0,0.2917,-28.86,-37.81,-43.53,Small Cap
7,BEAR,SHEN,99.16,0.9916,2023-12-07,18.9727,-3.1691,0.781,-0.1455,0.2465,1.0,0.0,0.0,0.0,0.0,-28.14,-36.91,-42.6,Small Cap
8,BEAR,NE,98.9,0.989,2023-12-07,20.0056,-2.8054,0.9519,-0.0706,0.441,1.0,0.0,0.0,0.0,0.0,-25.74,-34.06,-39.6,Small Cap
9,BEAR,OPLN,98.84,0.9884,2023-12-07,16.1486,-0.4423,0.7838,-0.0906,1.0447,1.0,0.0,0.0,0.0,0.0,-25.24,-33.44,-38.95,Small Cap
10,BEAR,ADUS,98.77,0.9877,2023-12-07,28.3973,3.0251,0.9171,0.0002,0.8136,1.0,0.0,0.0,0.0,0.0,-24.79,-32.91,-38.34,Small Cap
