rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,RPRX,100.0,1.0,2023-12-07,16.4756,2.2913,0.8538,0.004,0.4548,1.0,0.0,0.0,0.0,0.0,43488.89,46833.34,83233.34,Large Cap
2,BULL,MKC,99.94,0.9994,2023-12-07,18.8794,1.9656,0.6154,-0.0077,0.4781,1.0,0.0,0.0,0.3333,-0.3333,86.48,134.15,178.67,Large Cap
3,BULL,IFF,99.81,0.9981,2023-12-07,35.5893,3.8964,0.6369,-0.0015,0.4344,1.0,0.0,0.0,0.0,0.0,57.44,87.43,115.04,Large Cap
4,BULL,TFC,99.61,0.9961,2023-12-07,40.9597,5.0723,0.8374,0.0293,1.1609,1.0,0.0,0.0,0.0,0.0,45.23,67.26,87.82,Large Cap
5,BULL,ALNY,99.55,0.9955,2023-12-07,15.4285,1.5188,0.7755,-0.0278,0.4989,1.0,0.0,0.0,0.0,0.0,42.87,63.64,82.73,Large Cap
6,BULL,COHR,99.42,0.9942,2023-12-07,33.8319,4.3529,0.7549,0.0756,1.9652,1.0,0.0,0.0,0.0,0.0,39.41,58.09,75.03,Large Cap
7,BULL,NEE,99.16,0.9916,2023-12-07,22.4426,2.003,0.6325,-0.0037,0.3757,1.0,0.0,0.0833,0.0,0.0833,34.67,50.99,65.17,Large Cap
8,BULL,CAG,98.9,0.989,2023-12-07,22.2037,4.5708,0.681,0.0267,0.1694,1.0,0.0,0.0,0.0,0.0,31.53,46.28,58.88,Large Cap
9,BULL,MAA,98.25,0.9825,2023-12-07,18.3478,2.4842,0.7524,-0.0252,0.9884,1.0,0.0,0.0,0.0,0.0,26.63,38.99,49.29,Large Cap
10,BULL,KEY,98.0,0.98,2023-12-07,39.8262,4.9558,0.9763,0.0688,1.3507,1.0,0.0,0.0,0.0,0.0,25.31,36.96,46.75,Large Cap
