rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,IPGP,99.74,0.9974,2023-12-07,17.5759,3.517,0.8176,0.0068,0.8931,1.0,0.0,0.0,0.0,0.0,51.73,78.38,102.8,Mid Cap
2,BULL,RDW,99.48,0.9948,2023-12-07,17.8952,2.7237,0.5181,0.0674,1.8944,1.0,0.0,0.0,0.0,0.0,40.97,60.63,78.43,Mid Cap
3,BULL,PL,98.71,0.9871,2023-12-07,26.5363,3.8495,0.6656,0.0217,1.6839,1.0,0.0,0.0833,0.0,0.0833,29.72,43.61,55.34,Mid Cap
4,BULL,CRUS,98.58,0.9858,2023-12-07,21.2474,3.6503,0.7746,0.0086,0.98,1.0,0.0,0.0,0.1167,-0.1167,28.71,42.11,53.32,Mid Cap
5,BULL,WSO,98.13,0.9813,2023-12-07,25.8259,3.4659,0.761,-0.0056,1.1806,1.0,0.0,0.0,0.0,0.0,25.94,37.94,47.96,Mid Cap
6,BULL,NVTS,97.93,0.9793,2023-12-07,31.3246,5.5407,0.7751,0.1843,2.3925,1.0,0.0,0.0,0.0,0.0,25.01,36.51,46.19,Mid Cap
7,BULL,AAL,97.87,0.9787,2023-12-07,30.4433,4.6827,0.9782,0.0674,1.0489,1.0,0.0,0.0,0.0,0.0,24.73,36.09,45.65,Mid Cap
8,BULL,GBCI,97.54,0.9754,2023-12-07,31.1923,5.5975,1.0,0.0901,0.9381,1.0,0.0,0.0,0.0,0.0,23.42,34.15,43.19,Mid Cap
9,BULL,ZION,97.48,0.9748,2023-12-07,26.2354,3.4513,0.9207,0.0295,1.7636,1.0,0.0,0.0,0.0,0.0,23.19,33.81,42.76,Mid Cap
10,BULL,RIVN,97.03,0.9703,2023-12-07,17.8316,2.1369,0.6465,-0.0217,2.3312,1.0,0.0,0.1083,0.0,0.1083,21.72,31.66,40.03,Mid Cap
