rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,LZ,99.87,0.9987,2023-12-07,25.3017,-0.6888,0.7363,-0.1021,0.7295,1.0,0.0,0.0,0.0,0.0,66.67,101.91,135.59,Small Cap
2,BULL,MKTX,99.68,0.9968,2023-12-07,28.2679,5.3771,0.827,0.0581,1.2113,1.0,0.0,0.0,0.2333,-0.2333,48.04,71.87,94.55,Small Cap
3,BULL,KMPR,99.35,0.9935,2023-12-07,24.3104,6.1924,0.6908,0.0622,0.9434,1.0,0.0,0.0,0.0,0.0,38.0,55.99,72.11,Small Cap
4,BULL,DAN,99.29,0.9929,2023-12-07,27.8458,5.5679,0.7585,0.0672,1.0152,1.0,0.0,0.0,0.0,0.0,36.78,54.14,69.49,Small Cap
5,BULL,AIN,99.22,0.9922,2023-12-07,12.4274,3.14,0.8182,-0.0073,0.8136,1.0,0.0,0.0,0.0,0.0,35.68,52.46,67.18,Small Cap
6,BULL,PENG,99.1,0.991,2023-12-07,18.4017,3.3769,0.5181,0.0456,2.3412,1.0,0.0,0.0,0.0,0.0,33.77,49.67,63.36,Small Cap
7,BULL,DORM,99.03,0.9903,2023-12-07,20.9377,4.3163,0.6559,0.0353,0.7464,1.0,0.0,0.0,0.0,0.0,32.95,48.42,61.73,Small Cap
8,BULL,LGND,98.97,0.9897,2023-12-07,20.2995,4.9553,0.9186,0.0886,0.7377,1.0,0.0,0.0,0.0,0.0,32.21,47.28,60.26,Small Cap
9,BULL,WRLD,98.84,0.9884,2023-12-07,19.8338,4.1524,0.655,0.0473,1.1524,1.0,0.0,0.0,0.0,0.0,30.88,45.34,57.61,Small Cap
10,BULL,SRPT,98.77,0.9877,2023-12-07,27.8429,2.0403,0.5181,0.0182,0.3428,1.0,0.0,0.0,0.0,0.0,30.28,44.44,56.42,Small Cap
