rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,NEE,3.33,0.9916,2023-12-07,22.4426,2.003,0.6325,-0.0037,0.3757,1.0,0.0,0.0833,0.0,0.0833,34.67,50.99,65.17
2,BULL,PDFS,3.33,0.9864,2023-12-07,30.1028,2.3039,0.671,-0.0127,1.3218,1.0,0.0,0.4167,0.25,0.1667,29.19,42.85,54.3
3,BULL,NSIT,3.33,0.9761,2023-12-07,33.2708,7.1168,0.9681,0.0816,0.5711,1.0,0.0,0.1333,0.0,0.1333,23.65,34.51,43.65
4,BULL,DOC,3.33,0.9741,2023-12-07,23.8805,4.6924,0.8395,0.0541,1.3177,1.0,0.0,0.1083,0.0,0.1083,22.96,33.46,42.34
5,BULL,BBT,3.33,0.9729,2023-12-07,24.7746,4.9066,0.8426,0.0223,0.8366,1.0,0.0,0.1083,0.0,0.1083,22.53,32.83,41.53
6,BULL,CPB,3.33,0.9709,2023-12-07,15.0345,3.6818,0.9369,0.0316,-0.0584,1.0,0.0,0.1083,0.0,0.1083,21.91,31.95,40.38
7,BULL,RIVN,3.33,0.9703,2023-12-07,17.8316,2.1369,0.6465,-0.0217,2.3312,1.0,0.0,0.1083,0.0,0.1083,21.72,31.66,40.03
8,BULL,XPO,3.33,0.9625,2023-12-07,24.0374,-0.4392,0.844,-0.0961,1.4466,1.0,0.0,0.2167,0.0583,0.1583,19.75,28.82,36.39
9,BULL,SOFI,3.33,0.9612,2023-12-07,18.289,1.6285,0.8692,-0.0067,2.075,1.0,0.0,0.1083,0.0,0.1083,19.47,28.42,35.88
10,BULL,HIMS,3.33,0.958,2023-12-07,47.9017,5.3913,0.9061,0.1437,1.2071,1.0,0.0,0.2667,0.0,0.2667,18.83,27.49,34.67
