rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BEAR,TPL,3.33,0.9829,2023-12-07,25.9809,-2.0574,0.9482,-0.0489,-0.0099,1.0,0.0,0.0,0.2667,-0.2667,-55.83,-64.77,-69.77
2,BEAR,ASTE,3.33,0.9516,2023-12-07,44.1482,1.2681,0.5804,-0.0319,0.3237,1.0,0.0,0.0,0.325,-0.325,-48.1,-57.84,-63.21
3,BEAR,MTZ,3.33,0.9474,2023-12-07,29.7281,5.5201,0.8393,0.1801,0.8938,1.0,0.0,0.0833,0.0,0.0833,-35.71,-45.53,-51.28
4,BEAR,CALX,3.33,0.9462,2023-12-07,16.0883,3.6648,0.633,0.0475,1.2613,1.0,0.0,0.0,0.0,0.0,-32.76,-42.33,-48.07
5,BEAR,SSTK,3.33,0.9429,2023-12-07,30.9283,2.8239,0.8589,0.0689,1.6172,1.0,0.0,0.1083,0.2333,-0.125,-26.82,-35.38,-41.02
6,BEAR,INSP,3.33,0.9424,2023-12-07,15.2387,4.2856,0.7533,0.1404,1.4058,1.0,0.0,0.0,0.4128,-0.4128,-25.74,-34.06,-39.6
7,BEAR,RKLB,3.33,0.9394,2023-12-07,13.6479,1.6577,0.5758,-0.0678,1.4647,1.0,0.0,0.0,0.0,0.0,-23.55,-31.41,-36.69
8,BEAR,GTM,3.33,0.9351,2023-12-07,24.4392,3.7619,0.9162,0.1209,1.0006,1.0,0.0,0.0583,0.0,0.0583,-20.8,-27.94,-32.82
9,BEAR,XNCR,3.33,0.9339,2023-12-07,20.889,3.845,1.0,0.0858,1.0954,1.0,0.0,0.0,0.0,0.0,-20.09,-27.03,-31.78
10,BEAR,IRDM,3.33,0.9223,2023-12-07,23.8987,2.3778,0.7324,0.0233,0.7748,1.0,0.0,0.0,0.0,0.0,-16.97,-22.91,-27.07
11,BEAR,TALO,3.33,0.9192,2023-12-07,27.4846,-1.1945,0.8841,-0.0198,0.437,1.0,0.0,0.0,0.0,0.0,-16.32,-22.06,-26.07
12,BEAR,VICR,3.33,0.9137,2023-12-07,30.7001,0.5678,0.5181,-0.0547,2.2291,1.0,0.0,0.0,0.0,0.0,-15.11,-20.43,-24.19
13,BEAR,CWK,3.33,0.8977,2023-12-07,25.5468,2.6196,0.8494,0.0324,1.7924,1.0,0.0,0.0,0.0,0.0,-12.89,-17.42,-20.7
14,BEAR,PL,3.33,0.8965,2023-12-07,26.5363,3.8495,0.6656,0.0217,1.6839,1.0,0.0,0.0833,0.0,0.0833,-12.75,-17.24,-20.48
15,BEAR,OGN,3.33,0.8869,2023-12-07,48.1723,-1.3264,0.7585,-0.1281,0.4129,1.0,0.0,0.0,0.1083,-0.1083,-11.77,-15.89,-18.9
16,BEAR,OMCL,3.33,0.8701,2023-12-07,24.6279,2.8949,0.6985,0.055,0.654,1.0,0.0,0.0,0.4128,-0.4128,-10.64,-14.33,-17.02
17,BEAR,ALGM,3.33,0.8661,2023-12-07,17.1142,1.3716,0.6896,-0.0329,1.4709,1.0,0.0,0.0,0.4,-0.4,-10.25,-13.8,-16.39
18,BEAR,AA,3.33,0.8468,2023-12-07,12.3551,-0.563,0.7834,-0.1057,1.5567,1.0,0.0,0.0,0.0,0.0,-9.04,-12.12,-14.37
19,BEAR,ICUI,3.33,0.8459,2023-12-07,28.1749,0.208,0.7853,-0.0637,1.0939,1.0,0.0,0.0,0.4128,-0.4128,-8.97,-12.02,-14.25
20,BEAR,CRK,3.33,0.8351,2023-12-07,32.0812,-3.5262,0.8378,-0.1826,0.6136,1.0,0.0,0.0,0.0,0.0,-8.46,-11.32,-13.39
21,BEAR,EL,3.33,0.8173,2023-12-07,23.3438,4.4006,0.7727,0.1138,0.6661,1.0,0.0,0.0,0.0,0.0,-7.61,-10.14,-11.95
22,BEAR,WWW,3.33,0.8051,2023-12-07,17.1459,1.5753,0.8305,-0.0142,0.5364,1.0,0.0,0.0,0.0,0.0,-7.12,-9.46,-11.13
23,BEAR,PENG,3.33,0.8008,2023-12-07,18.4017,3.3769,0.5181,0.0456,2.3412,1.0,0.0,0.0,0.0,0.0,-6.94,-9.21,-10.82
24,BEAR,NWL,3.33,0.7722,2023-12-07,25.084,5.6821,0.8227,0.1214,1.1512,1.0,0.0,0.0,0.4128,-0.4128,-5.86,-7.7,-8.97
25,BEAR,HTZ,3.33,0.767,2023-12-07,26.6047,1.0609,0.8152,-0.0239,1.826,1.0,0.0,0.0,0.0,0.0,-5.66,-7.43,-8.65
26,BEAR,EYE,3.33,0.7419,2023-12-07,34.6245,3.7289,0.8353,0.0522,1.3154,1.0,0.0,0.1083,0.0,0.1083,-4.85,-6.31,-7.28
27,BEAR,ETSY,3.33,0.74,2023-12-07,34.9905,5.4577,0.9484,0.1185,1.5014,1.0,0.0,0.0,0.0,0.0,-4.8,-6.24,-7.18
28,BEAR,FOXF,3.33,0.7382,2023-12-07,38.4234,2.1286,0.5181,-0.0014,0.7617,1.0,0.0,0.0,0.0,0.0,-4.74,-6.16,-7.08
29,BEAR,SBH,3.33,0.7256,2023-12-07,32.7457,4.8156,0.9196,0.1148,1.345,1.0,0.0,0.325,0.2333,0.0917,-4.34,-5.6,-6.4
30,BEAR,XPEL,3.33,0.7185,2023-12-07,37.0508,1.872,0.5181,-0.0143,1.0825,1.0,0.0,0.0,0.0,0.0,-4.11,-5.28,-6.01
