rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,TPL,98.29,0.9829,2023-12-07,25.9809,-2.0574,0.9482,-0.0489,-0.0099,1.0,0.0,0.0,0.2667,-0.2667,-55.83,-64.77,-69.77,Large Cap
2,BEAR,BEN,93.92,0.9392,2023-12-07,25.6696,3.6961,0.8228,-0.0138,0.9738,1.0,0.0,0.1083,0.2333,-0.125,-23.18,-30.96,-36.19,Large Cap
3,BEAR,CSCO,93.64,0.9364,2023-12-07,39.9395,-3.5262,0.6705,-0.1718,0.7213,1.0,0.0,0.0,0.0,0.0,-21.05,-28.27,-33.21,Large Cap
4,BEAR,FCX,93.44,0.9344,2023-12-07,24.0273,2.7618,0.9228,-0.0034,1.2486,1.0,0.0,0.0,0.0833,-0.0833,-20.31,-27.32,-32.11,Large Cap
5,BEAR,CRL,92.78,0.9278,2023-12-07,21.2893,5.5709,0.7347,0.0686,1.13,1.0,0.0,0.1083,0.0,0.1083,-18.0,-24.28,-28.66,Large Cap
6,BEAR,TRMB,92.47,0.9247,2023-12-07,21.5285,4.2638,0.6681,0.0285,0.7387,1.0,0.0,0.0,0.0,0.0,-17.54,-23.67,-27.96,Large Cap
7,BEAR,RF,92.35,0.9235,2023-12-07,24.3474,4.9774,0.798,0.0386,1.2188,1.0,0.0,0.0,0.0,0.0,-17.25,-23.28,-27.5,Large Cap
8,BEAR,APA,91.98,0.9198,2023-12-07,35.3797,-2.5523,0.7979,-0.0479,0.2678,1.0,0.0,0.0,0.0,0.0,-16.44,-22.22,-26.25,Large Cap
9,BEAR,GILD,91.86,0.9186,2023-12-07,18.9485,0.1061,0.7992,-0.0713,0.4695,1.0,0.0,0.1083,0.0,0.1083,-16.19,-21.89,-25.88,Large Cap
10,BEAR,MOS,91.55,0.9155,2023-12-07,20.9632,3.2148,0.7835,0.0149,0.8508,1.0,0.0,0.0,0.0,0.0,-15.63,-21.12,-25.0,Large Cap
