rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,BROS,94.8,0.948,2023-12-07,21.6543,0.6028,0.9155,-0.0673,1.3275,1.0,0.0,0.1167,0.0,0.1167,-40.08,-50.03,-55.8,Mid Cap
2,BEAR,LFUS,94.75,0.9475,2023-12-07,24.3296,2.8116,0.7828,-0.02,1.0428,1.0,0.0,0.0833,0.25,-0.1667,-37.66,-47.65,-53.31,Mid Cap
3,BEAR,MTZ,94.74,0.9474,2023-12-07,29.7281,5.5201,0.8393,0.1801,0.8938,1.0,0.0,0.0833,0.0,0.0833,-35.71,-45.53,-51.28,Mid Cap
4,BEAR,PEN,94.68,0.9468,2023-12-07,24.4105,4.3655,0.7484,0.085,0.8028,1.0,0.0,0.1667,0.0,0.1667,-34.08,-43.8,-49.6,Mid Cap
5,BEAR,RVMD,94.56,0.9456,2023-12-07,15.5524,2.6195,0.5181,0.0666,1.5567,1.0,0.0,0.0,0.0,0.0,-31.57,-41.0,-46.72,Mid Cap
6,BEAR,PBF,94.49,0.9449,2023-12-07,19.1042,-1.595,0.7462,-0.0298,0.5433,1.0,0.0,0.0,0.1333,-0.1333,-29.68,-38.78,-44.49,Mid Cap
7,BEAR,ORA,94.37,0.9437,2023-12-07,25.9675,4.733,0.8874,0.0734,0.8448,1.0,0.0,0.25,0.0,0.25,-28.14,-36.91,-42.6,Mid Cap
8,BEAR,NOVT,94.25,0.9425,2023-12-07,24.825,6.8011,0.7432,0.1276,1.2679,1.0,0.0,0.0,0.0,0.0,-26.26,-34.71,-40.28,Mid Cap
9,BEAR,AEIS,94.19,0.9419,2023-12-07,22.8638,4.3515,0.7568,0.0512,1.4562,1.0,0.0,0.0,0.0,0.0,-25.24,-33.44,-38.95,Mid Cap
10,BEAR,RKLB,93.94,0.9394,2023-12-07,13.6479,1.6577,0.5758,-0.0678,1.4647,1.0,0.0,0.0,0.0,0.0,-23.55,-31.41,-36.69,Mid Cap
