rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,BOX,100.0,1.0,2023-12-07,26.5159,-1.7583,0.9968,-0.1293,0.8317,1.0,0.0,0.0,0.4,-0.4,-99.74,-99.75,-99.8,Small Cap
2,BEAR,ASTE,95.16,0.9516,2023-12-07,44.1482,1.2681,0.5804,-0.0319,0.3237,1.0,0.0,0.0,0.325,-0.325,-48.1,-57.84,-63.21,Small Cap
3,BEAR,U,94.86,0.9486,2023-12-07,15.0112,4.0239,0.7836,0.1103,1.7401,1.0,0.0,0.0,0.0,0.0,-43.39,-53.33,-58.92,Small Cap
4,BEAR,CALX,94.62,0.9462,2023-12-07,16.0883,3.6648,0.633,0.0475,1.2613,1.0,0.0,0.0,0.0,0.0,-32.76,-42.33,-48.07,Small Cap
5,BEAR,CC,94.5,0.945,2023-12-07,27.3171,5.0345,0.9324,0.0834,1.0173,1.0,0.0,0.0,0.0,0.0,-30.58,-39.85,-45.56,Small Cap
6,BEAR,POWI,94.43,0.9443,2023-12-07,21.4955,4.1358,0.7802,0.0378,1.399,1.0,0.0,0.0,0.0,0.0,-28.86,-37.81,-43.53,Small Cap
7,BEAR,MMSI,94.31,0.9431,2023-12-07,25.5133,-0.7824,0.9816,-0.0969,0.4609,1.0,0.0,0.0,0.0,0.0,-27.45,-36.11,-41.78,Small Cap
8,BEAR,SSTK,94.29,0.9429,2023-12-07,30.9283,2.8239,0.8589,0.0689,1.6172,1.0,0.0,0.1083,0.2333,-0.125,-26.82,-35.38,-41.02,Small Cap
9,BEAR,INSP,94.24,0.9424,2023-12-07,15.2387,4.2856,0.7533,0.1404,1.4058,1.0,0.0,0.0,0.4128,-0.4128,-25.74,-34.06,-39.6,Small Cap
10,BEAR,PZZA,94.11,0.9411,2023-12-07,24.6722,2.4331,0.8345,-0.0205,0.8275,1.0,0.0,0.0,0.3333,-0.3333,-24.79,-32.91,-38.34,Small Cap
