rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,CTKB,5.88,0.8058,2023-12-07,51.4511,9.0048,0.9406,0.2943,0.9312,1.0,0.0,0.2167,0.175,0.0417,11.61,17.19,21.78
2,BULL,JD,5.88,0.7839,2023-12-07,13.1673,0.5741,0.8154,-0.0602,1.0773,1.0,0.0,0.0333,0.4,-0.3667,10.13,15.07,19.17
3,BULL,HE,5.88,0.7329,2023-12-07,13.1864,-0.9971,0.5181,-0.0945,-0.0584,1.0,0.0,0.0833,0.25,-0.1667,7.85,11.84,15.15
4,BULL,VSAT,5.88,0.6397,2023-12-07,22.1625,5.3029,0.8867,0.1988,1.4626,1.0,0.0,0.0833,0.3333,-0.25,5.21,8.04,10.47
5,BULL,MTCH,5.88,0.5798,2023-12-07,19.9185,2.0964,0.704,0.04,0.763,1.0,0.0,0.0583,0.0,0.0583,3.78,5.97,7.89
6,BULL,TNDM,5.88,0.5717,2023-12-07,23.9625,7.5574,0.7548,0.2943,0.484,1.0,0.0,0.2167,0.0,0.2167,3.64,5.77,7.64
7,BULL,DGII,5.88,0.5398,2023-12-07,21.3216,-0.1375,0.8936,-0.0836,1.0417,1.0,0.0,0.1,0.4128,-0.4128,2.9,4.7,6.31
8,BULL,SPIR,5.88,0.5377,2023-12-07,30.8607,4.056,0.995,0.1813,1.6364,1.0,0.0,0.4,0.0,0.4,2.88,4.66,6.27
9,BULL,VFC,5.88,0.515,2023-12-07,16.3012,3.2196,0.7811,0.0623,0.5708,1.0,0.0,0.1083,0.0,0.1083,2.38,3.94,5.38
10,BULL,PI,5.88,0.471,2023-12-07,49.7434,5.247,0.8429,0.128,1.8187,1.0,0.0,0.2167,0.0,0.2167,1.61,2.82,3.99
11,BULL,UNFI,5.88,0.3297,2023-12-07,16.6508,0.6463,0.7158,-0.0152,1.5442,1.0,0.0,0.0833,0.0,0.0833,-1.35,-1.43,-1.27
12,BULL,SBH,5.88,0.3005,2023-12-07,32.7457,4.8156,0.9196,0.1148,1.345,1.0,0.0,0.325,0.2333,0.0917,-2.02,-2.37,-2.42
13,BULL,EYE,5.88,0.1993,2023-12-07,34.6245,3.7289,0.8353,0.0522,1.3154,1.0,0.0,0.1083,0.0,0.1083,-4.83,-6.29,-7.25
14,BULL,SSTK,5.88,0.0636,2023-12-07,30.9283,2.8239,0.8589,0.0689,1.6172,1.0,0.0,0.1083,0.2333,-0.125,-12.49,-16.88,-20.06
15,BULL,PL,5.88,0.0531,2023-12-07,26.5363,3.8495,0.6656,0.0217,1.6839,1.0,0.0,0.0833,0.0,0.0833,-13.7,-18.52,-21.98
16,BULL,GTM,5.88,0.0156,2023-12-07,24.4392,3.7619,0.9162,0.1209,1.0006,1.0,0.0,0.0583,0.0,0.0583,-23.55,-31.41,-36.69
17,BULL,MTZ,5.88,0.0054,2023-12-07,29.7281,5.5201,0.8393,0.1801,0.8938,1.0,0.0,0.0833,0.0,0.0833,-34.08,-43.8,-49.6
