rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,UBER,97.04,0.9704,2023-12-07,51.1913,8.3344,0.8779,0.1291,1.6777,1.0,0.0,0.6667,0.0,0.6667,86.48,134.15,178.67,Large Cap
2,BULL,RCL,96.94,0.9694,2023-12-07,49.6527,9.0479,0.8541,0.1331,1.3906,1.0,0.0,0.6667,0.0,0.6667,66.67,101.91,135.59,Large Cap
3,BULL,AKAM,96.58,0.9658,2023-12-07,36.5107,3.0073,0.7474,-0.0394,0.5961,1.0,0.0,0.6667,0.0,0.6667,51.73,78.38,102.8,Large Cap
4,BULL,APH,96.52,0.9652,2023-12-07,46.9749,6.8885,0.7083,0.0043,0.7838,1.0,0.0,0.6667,0.0,0.6667,48.04,71.87,94.55,Large Cap
5,BULL,EFX,94.71,0.9471,2023-12-07,46.8141,9.6155,0.7366,0.1177,1.0428,1.0,0.0,0.6667,0.0,0.6667,40.97,60.63,78.43,Large Cap
6,BULL,AAPL,93.99,0.9399,2023-12-07,33.5378,4.2311,0.7623,-0.0165,0.855,1.0,0.0,0.5333,0.0,0.5333,35.68,52.46,67.18,Large Cap
7,BULL,REG,93.96,0.9396,2023-12-07,26.4987,2.2731,0.8227,-0.0302,0.816,1.0,0.0,0.6667,0.0,0.6667,34.67,50.99,65.17,Large Cap
8,BULL,MSTR,93.79,0.9379,2023-12-07,44.083,4.0975,0.9794,0.0496,1.2718,1.0,0.0,0.6667,0.0,0.6667,33.77,49.67,63.36,Large Cap
9,BULL,T,92.98,0.9298,2023-12-07,34.6297,5.1658,0.6708,0.0507,0.2902,1.0,0.0,0.6667,0.0,0.6667,32.95,48.42,61.73,Large Cap
10,BULL,CVX,92.36,0.9236,2023-12-07,30.0407,0.5292,0.7537,0.0444,0.0858,1.0,0.0,0.1667,0.4,-0.2333,32.21,47.28,60.26,Large Cap
