rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,IDCC,96.92,0.9692,2023-12-07,54.3866,9.6155,1.0,0.1351,1.1265,1.0,0.0,0.6667,0.0,0.6667,57.44,87.43,115.04,Mid Cap
2,BULL,INGR,96.15,0.9615,2023-12-07,34.5551,3.9545,0.7449,0.0149,0.2972,1.0,0.0,0.6667,0.0,0.6667,45.23,67.26,87.82,Mid Cap
3,BULL,BCO,96.12,0.9612,2023-12-07,47.9799,6.2221,0.8225,0.0578,1.1992,1.0,0.0,0.6667,0.0,0.6667,42.87,63.64,82.73,Mid Cap
4,BULL,MUSA,94.47,0.9447,2023-12-07,16.9297,-0.7925,0.8692,-0.1071,0.2881,1.0,0.0,0.4333,0.0,0.4333,38.0,55.99,72.11,Mid Cap
5,BULL,RYAAY,92.01,0.9201,2023-12-07,52.5562,8.1726,0.8707,0.0264,0.7557,1.0,0.0,0.4,0.0,0.4,29.72,43.61,55.34,Mid Cap
6,BULL,DT,91.9,0.919,2023-12-07,38.3976,4.0889,0.7019,0.0108,1.254,1.0,0.0,0.4,0.0,0.4,29.19,42.85,54.3,Mid Cap
7,BULL,SSD,91.57,0.9157,2023-12-07,40.9558,9.6155,0.8959,0.1505,0.9681,1.0,0.0,0.6667,0.0,0.6667,27.4,40.14,50.76,Mid Cap
8,BULL,IREN,88.94,0.8894,2023-12-07,40.1294,7.4102,1.0,0.2943,2.4054,1.0,0.0,0.2667,0.1,0.1667,23.19,33.81,42.76,Mid Cap
9,BULL,CRML,88.86,0.8886,2023-12-07,26.0473,6.0228,0.6169,-0.1356,0.0348,1.0,0.0,0.0,0.0,0.0,22.96,33.46,42.34,Mid Cap
10,BULL,PATH,88.56,0.8856,2023-12-07,39.8388,6.0126,0.9824,0.233,2.3244,1.0,0.0,0.4,0.0,0.4,22.11,32.23,40.76,Mid Cap
