rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,UVV,100.0,1.0,2023-12-07,51.7544,7.0183,1.0,0.1045,0.5329,1.0,0.0,0.6667,0.0,0.6667,43488.89,46833.34,83233.34,Small Cap
2,BULL,PJT,94.49,0.9449,2023-12-07,49.8979,6.0395,1.0,0.0591,0.7532,1.0,0.0,0.6667,0.0,0.6667,39.41,58.09,75.03,Small Cap
3,BULL,TNC,94.13,0.9413,2023-12-07,38.6749,2.4353,0.8285,-0.0326,0.8757,1.0,0.0,0.6667,0.0,0.6667,36.78,54.14,69.49,Small Cap
4,BULL,REYN,92.26,0.9226,2023-12-07,9.8898,-0.1053,0.8327,-0.0458,0.0522,1.0,0.0,0.175,0.0,0.175,30.88,45.34,57.61,Small Cap
5,BULL,JXN,91.66,0.9166,2023-12-07,41.1143,8.7924,0.7799,0.1278,0.7939,1.0,0.0,0.6667,0.0,0.6667,28.25,41.41,52.41,Small Cap
6,BULL,TRIP,91.6,0.916,2023-12-07,24.8616,0.6412,0.7591,-0.0152,1.5342,1.0,0.0,0.25,0.0,0.25,27.81,40.76,51.57,Small Cap
7,BULL,PRLB,91.07,0.9107,2023-12-07,53.3751,3.9428,0.791,0.024,1.454,1.0,0.0,0.2667,0.1667,0.1,27.0,39.56,50.0,Small Cap
8,BULL,IBP,90.37,0.9037,2023-12-07,47.8886,9.6155,0.8468,0.1924,1.5578,1.0,0.0,0.6667,0.0,0.6667,25.94,37.94,47.96,Small Cap
9,BULL,PTGX,90.31,0.9031,2023-12-07,31.0179,6.4549,0.9657,0.1963,0.8547,1.0,0.0,0.6667,0.0,0.6667,25.63,37.44,47.34,Small Cap
10,BULL,FRPT,89.74,0.8974,2023-12-07,41.6177,4.4586,0.6866,0.0857,0.955,1.0,0.0,0.2667,0.0,0.2667,25.01,36.51,46.19,Small Cap
