rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,CSCO,98.71,0.9871,2023-12-07,39.9395,-3.5262,0.6705,-0.1718,0.7213,1.0,0.0,0.0,0.0,0.0,-24.35,-32.37,-37.77,Large Cap
2,BEAR,TPL,98.64,0.9864,2023-12-07,25.9809,-2.0574,0.9482,-0.0489,-0.0099,1.0,0.0,0.0,0.2667,-0.2667,-23.93,-31.89,-37.22,Large Cap
3,BEAR,CRL,97.8,0.978,2023-12-07,21.2893,5.5709,0.7347,0.0686,1.13,1.0,0.0,0.1083,0.0,0.1083,-20.09,-27.03,-31.78,Large Cap
4,BEAR,FCX,97.74,0.9774,2023-12-07,24.0273,2.7618,0.9228,-0.0034,1.2486,1.0,0.0,0.0,0.0833,-0.0833,-19.87,-26.73,-31.45,Large Cap
5,BEAR,TRMB,97.48,0.9748,2023-12-07,21.5285,4.2638,0.6681,0.0285,0.7387,1.0,0.0,0.0,0.0,0.0,-19.05,-25.66,-30.24,Large Cap
6,BEAR,RF,97.35,0.9735,2023-12-07,24.3474,4.9774,0.798,0.0386,1.2188,1.0,0.0,0.0,0.0,0.0,-18.69,-25.17,-29.69,Large Cap
7,BEAR,APA,96.96,0.9696,2023-12-07,35.3797,-2.5523,0.7979,-0.0479,0.2678,1.0,0.0,0.0,0.0,0.0,-17.69,-23.87,-28.2,Large Cap
8,BEAR,GILD,96.83,0.9683,2023-12-07,18.9485,0.1061,0.7992,-0.0713,0.4695,1.0,0.0,0.1083,0.0,0.1083,-17.39,-23.47,-27.73,Large Cap
9,BEAR,MOS,96.51,0.9651,2023-12-07,20.9632,3.2148,0.7835,0.0149,0.8508,1.0,0.0,0.0,0.0,0.0,-16.69,-22.56,-26.66,Large Cap
10,BEAR,TXN,95.73,0.9573,2023-12-07,25.2838,4.1545,0.9249,0.0042,0.9582,1.0,0.0,0.0,0.0,0.0,-15.31,-20.7,-24.5,Large Cap
