rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,BROS,99.94,0.9994,2023-12-07,21.6543,0.6028,0.9155,-0.0673,1.3275,1.0,0.0,0.1167,0.0,0.1167,-55.83,-64.77,-69.77,Mid Cap
2,BEAR,MTZ,99.87,0.9987,2023-12-07,29.7281,5.5201,0.8393,0.1801,0.8938,1.0,0.0,0.0833,0.0,0.0833,-48.1,-57.84,-63.21,Mid Cap
3,BEAR,PEN,99.81,0.9981,2023-12-07,24.4105,4.3655,0.7484,0.085,0.8028,1.0,0.0,0.1667,0.0,0.1667,-43.39,-53.33,-58.92,Mid Cap
4,BEAR,RVMD,99.68,0.9968,2023-12-07,15.5524,2.6195,0.5181,0.0666,1.5567,1.0,0.0,0.0,0.0,0.0,-37.66,-47.65,-53.31,Mid Cap
5,BEAR,ORA,99.48,0.9948,2023-12-07,25.9675,4.733,0.8874,0.0734,0.8448,1.0,0.0,0.25,0.0,0.25,-32.76,-42.33,-48.07,Mid Cap
6,BEAR,NOVT,99.35,0.9935,2023-12-07,24.825,6.8011,0.7432,0.1276,1.2679,1.0,0.0,0.0,0.0,0.0,-30.58,-39.85,-45.56,Mid Cap
7,BEAR,AEIS,99.29,0.9929,2023-12-07,22.8638,4.3515,0.7568,0.0512,1.4562,1.0,0.0,0.0,0.0,0.0,-29.68,-38.78,-44.49,Mid Cap
8,BEAR,RKLB,99.03,0.9903,2023-12-07,13.6479,1.6577,0.5758,-0.0678,1.4647,1.0,0.0,0.0,0.0,0.0,-26.82,-35.38,-41.02,Mid Cap
9,BEAR,PCTY,98.97,0.9897,2023-12-07,26.1325,0.3625,0.6313,-0.0653,0.6573,1.0,0.0,0.0,0.0,0.0,-26.26,-34.71,-40.28,Mid Cap
10,BEAR,ENS,98.77,0.9877,2023-12-07,13.8835,1.553,0.7866,-0.0412,1.1089,1.0,0.0,0.0,0.0,0.0,-24.79,-32.91,-38.34,Mid Cap
