rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,U,100.0,1.0,2023-12-07,15.0112,4.0239,0.7836,0.1103,1.7401,1.0,0.0,0.0,0.0,0.0,-99.74,-99.75,-99.8,Small Cap
2,BEAR,CALX,99.74,0.9974,2023-12-07,16.0883,3.6648,0.633,0.0475,1.2613,1.0,0.0,0.0,0.0,0.0,-40.08,-50.03,-55.8,Small Cap
3,BEAR,CC,99.61,0.9961,2023-12-07,27.3171,5.0345,0.9324,0.0834,1.0173,1.0,0.0,0.0,0.0,0.0,-35.71,-45.53,-51.28,Small Cap
4,BEAR,POWI,99.55,0.9955,2023-12-07,21.4955,4.1358,0.7802,0.0378,1.399,1.0,0.0,0.0,0.0,0.0,-34.08,-43.8,-49.6,Small Cap
5,BEAR,MMSI,99.42,0.9942,2023-12-07,25.5133,-0.7824,0.9816,-0.0969,0.4609,1.0,0.0,0.0,0.0,0.0,-31.57,-41.0,-46.72,Small Cap
6,BEAR,BOX,99.22,0.9922,2023-12-07,26.5159,-1.7583,0.9968,-0.1293,0.8317,1.0,0.0,0.0,0.4,-0.4,-28.86,-37.81,-43.53,Small Cap
7,BEAR,ECPG,99.16,0.9916,2023-12-07,15.1779,2.7277,0.7689,-0.0136,1.1222,1.0,0.0,0.0,0.0,0.0,-28.14,-36.91,-42.6,Small Cap
8,BEAR,DNOW,99.1,0.991,2023-12-07,23.5742,1.4882,0.8572,-0.0374,0.6736,1.0,0.0,0.0,0.0,0.0,-27.45,-36.11,-41.78,Small Cap
9,BEAR,DORM,98.9,0.989,2023-12-07,20.9377,4.3163,0.6559,0.0353,0.7464,1.0,0.0,0.0,0.0,0.0,-25.74,-34.06,-39.6,Small Cap
10,BEAR,OXM,98.84,0.9884,2023-12-07,18.89,2.8663,1.0,0.0062,0.9678,1.0,0.0,0.0,0.0,0.0,-25.24,-33.44,-38.95,Small Cap
