rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,VZ,99.81,0.9981,2023-12-07,51.9963,5.6177,0.609,0.0401,0.4068,1.0,0.0,0.0,0.1,-0.1,57.44,87.43,115.04,Large Cap
2,BULL,LHX,99.74,0.9974,2023-12-07,32.6722,5.0856,0.7636,0.007,0.2492,1.0,0.0,0.2667,0.0,0.2667,51.73,78.38,102.8,Large Cap
3,BULL,UBER,99.61,0.9961,2023-12-07,51.1913,8.3344,0.8779,0.1291,1.6777,1.0,0.0,0.6667,0.0,0.6667,45.23,67.26,87.82,Large Cap
4,BULL,FIS,99.42,0.9942,2023-12-07,30.8281,5.5705,0.823,0.016,0.93,1.0,0.0,0.0,0.1,-0.1,39.41,58.09,75.03,Large Cap
5,BULL,GDDY,99.22,0.9922,2023-12-07,54.3866,9.0572,0.9878,0.0964,1.0007,1.0,0.0,0.2667,0.0,0.2667,35.68,52.46,67.18,Large Cap
6,BULL,AKAM,99.1,0.991,2023-12-07,36.5107,3.0073,0.7474,-0.0394,0.5961,1.0,0.0,0.6667,0.0,0.6667,33.77,49.67,63.36,Large Cap
7,BULL,APH,99.03,0.9903,2023-12-07,46.9749,6.8885,0.7083,0.0043,0.7838,1.0,0.0,0.6667,0.0,0.6667,32.95,48.42,61.73,Large Cap
8,BULL,MMM,98.97,0.9897,2023-12-07,39.7367,7.1219,0.7587,0.0483,0.7031,1.0,0.0,0.0,0.0,0.0,32.21,47.28,60.26,Large Cap
9,BULL,AAPL,98.84,0.9884,2023-12-07,33.5378,4.2311,0.7623,-0.0165,0.855,1.0,0.0,0.5333,0.0,0.5333,30.88,45.34,57.61,Large Cap
10,BULL,CVX,98.45,0.9845,2023-12-07,30.0407,0.5292,0.7537,0.0444,0.0858,1.0,0.0,0.1667,0.4,-0.2333,27.81,40.76,51.57,Large Cap
