rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,MUSA,99.94,0.9994,2023-12-07,16.9297,-0.7925,0.8692,-0.1071,0.2881,1.0,0.0,0.4333,0.0,0.4333,86.48,134.15,178.67,Mid Cap
2,BULL,CRML,99.87,0.9987,2023-12-07,26.0473,6.0228,0.6169,-0.1356,0.0348,1.0,0.0,0.0,0.0,0.0,66.67,101.91,135.59,Mid Cap
3,BULL,IDCC,99.48,0.9948,2023-12-07,54.3866,9.6155,1.0,0.1351,1.1265,1.0,0.0,0.6667,0.0,0.6667,40.97,60.63,78.43,Mid Cap
4,BULL,GRAB,98.64,0.9864,2023-12-07,21.018,-0.7759,0.6742,-0.1035,0.5701,1.0,0.0,0.0,0.0,0.0,29.19,42.85,54.3,Mid Cap
5,BULL,BCO,98.58,0.9858,2023-12-07,47.9799,6.2221,0.8225,0.0578,1.1992,1.0,0.0,0.6667,0.0,0.6667,28.71,42.11,53.32,Mid Cap
6,BULL,GMED,98.51,0.9851,2023-12-07,15.1349,-0.4303,0.7887,-0.085,0.778,1.0,0.0,0.0,0.0,0.0,28.25,41.41,52.41,Mid Cap
7,BULL,RYAAY,98.0,0.98,2023-12-07,52.5562,8.1726,0.8707,0.0264,0.7557,1.0,0.0,0.4,0.0,0.4,25.31,36.96,46.75,Mid Cap
8,BULL,DT,97.87,0.9787,2023-12-07,38.3976,4.0889,0.7019,0.0108,1.254,1.0,0.0,0.4,0.0,0.4,24.73,36.09,45.65,Mid Cap
9,BULL,JAZZ,97.8,0.978,2023-12-07,29.6421,-2.3943,0.8346,-0.1434,0.6139,1.0,0.0,0.0,0.2667,-0.2667,24.44,35.68,45.11,Mid Cap
10,BULL,MTN,97.74,0.9774,2023-12-07,13.6349,-0.5125,0.7409,-0.1027,1.0142,1.0,0.0,0.0,0.0,0.0,24.17,35.26,44.61,Mid Cap
