rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,OKLO,100.0,1.0,2023-12-07,40.8184,2.4809,0.8082,-0.0296,0.0054,1.0,0.0,0.0,0.0333,-0.0333,43488.89,46833.34,83233.34,Small Cap
2,BULL,TFX,99.68,0.9968,2023-12-07,36.7525,7.0878,0.7649,0.077,1.0112,1.0,0.0,0.0,0.0,0.0,48.04,71.87,94.55,Small Cap
3,BULL,REYN,99.55,0.9955,2023-12-07,9.8898,-0.1053,0.8327,-0.0458,0.0522,1.0,0.0,0.175,0.0,0.175,42.87,63.64,82.73,Small Cap
4,BULL,OPLN,99.35,0.9935,2023-12-07,16.1486,-0.4423,0.7838,-0.0906,1.0447,1.0,0.0,0.0,0.0,0.0,38.0,55.99,72.11,Small Cap
5,BULL,FWRD,99.29,0.9929,2023-12-07,11.6936,-0.3158,0.5993,-0.0894,0.5904,1.0,0.0,0.0,0.2667,-0.2667,36.78,54.14,69.49,Small Cap
6,BULL,UVV,99.16,0.9916,2023-12-07,51.7544,7.0183,1.0,0.1045,0.5329,1.0,0.0,0.6667,0.0,0.6667,34.67,50.99,65.17,Small Cap
7,BULL,QDEL,98.9,0.989,2023-12-07,23.1616,3.1783,0.7992,0.0274,0.7552,1.0,0.0,0.0,0.0,0.0,31.53,46.28,58.88,Small Cap
8,BULL,HSTM,98.77,0.9877,2023-12-07,21.8375,1.3215,0.7114,-0.0481,0.6012,1.0,0.0,0.1333,0.0,0.1333,30.28,44.44,56.42,Small Cap
9,BULL,SHEN,98.71,0.9871,2023-12-07,18.9727,-3.1691,0.781,-0.1455,0.2465,1.0,0.0,0.0,0.0,0.0,29.72,43.61,55.34,Small Cap
10,BULL,TRIP,98.38,0.9838,2023-12-07,24.8616,0.6412,0.7591,-0.0152,1.5342,1.0,0.0,0.25,0.0,0.25,27.4,40.14,50.76,Small Cap
