rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,JD,5.88,0.8791,2023-12-07,13.1673,0.5741,0.8154,-0.0602,1.0773,1.0,0.0,0.0333,0.4,-0.3667,11.09,16.44,20.86
2,BULL,CTKB,5.88,0.8681,2023-12-07,51.4511,9.0048,0.9406,0.2943,0.9312,1.0,0.0,0.2167,0.175,0.0417,10.51,15.61,19.84
3,BULL,HE,5.88,0.819,2023-12-07,13.1864,-0.9971,0.5181,-0.0945,-0.0584,1.0,0.0,0.0833,0.25,-0.1667,8.43,12.66,16.17
4,BULL,VSAT,5.88,0.7143,2023-12-07,22.1625,5.3029,0.8867,0.1988,1.4626,1.0,0.0,0.0833,0.3333,-0.25,5.44,8.37,10.87
5,BULL,MTCH,5.88,0.6484,2023-12-07,19.9185,2.0964,0.704,0.04,0.763,1.0,0.0,0.0583,0.0,0.0583,4.01,6.29,8.29
6,BULL,TNDM,5.88,0.605,2023-12-07,23.9625,7.5574,0.7548,0.2943,0.484,1.0,0.0,0.2167,0.0,0.2167,3.15,5.06,6.76
7,BULL,VFC,5.88,0.5727,2023-12-07,16.3012,3.2196,0.7811,0.0623,0.5708,1.0,0.0,0.1083,0.0,0.1083,2.54,4.17,5.66
8,BULL,DGII,5.88,0.5695,2023-12-07,21.3216,-0.1375,0.8936,-0.0836,1.0417,1.0,0.0,0.1,0.4128,-0.4128,2.48,4.08,5.55
9,BULL,SPIR,5.88,0.5501,2023-12-07,30.8607,4.056,0.995,0.1813,1.6364,1.0,0.0,0.4,0.0,0.4,2.12,3.56,4.91
10,BULL,PI,5.88,0.4919,2023-12-07,49.7434,5.247,0.8429,0.128,1.8187,1.0,0.0,0.2167,0.0,0.2167,1.06,2.01,2.99
11,BULL,UNFI,5.88,0.3659,2023-12-07,16.6508,0.6463,0.7158,-0.0152,1.5442,1.0,0.0,0.0833,0.0,0.0833,-1.32,-1.39,-1.22
12,BULL,SBH,5.88,0.2941,2023-12-07,32.7457,4.8156,0.9196,0.1148,1.345,1.0,0.0,0.325,0.2333,0.0917,-2.89,-3.59,-3.92
13,BULL,EYE,5.88,0.2178,2023-12-07,34.6245,3.7289,0.8353,0.0522,1.3154,1.0,0.0,0.1083,0.0,0.1083,-4.89,-6.37,-7.34
14,BULL,SSTK,5.88,0.0653,2023-12-07,30.9283,2.8239,0.8589,0.0689,1.6172,1.0,0.0,0.1083,0.2333,-0.125,-12.43,-16.79,-19.96
15,BULL,PL,5.88,0.0549,2023-12-07,26.5363,3.8495,0.6656,0.0217,1.6839,1.0,0.0,0.0833,0.0,0.0833,-13.54,-18.3,-21.73
16,BULL,GTM,5.88,0.0142,2023-12-07,24.4392,3.7619,0.9162,0.1209,1.0006,1.0,0.0,0.0583,0.0,0.0583,-23.18,-30.96,-36.19
17,BULL,MTZ,5.88,0.0013,2023-12-07,29.7281,5.5201,0.8393,0.1801,0.8938,1.0,0.0,0.0833,0.0,0.0833,-43.39,-53.33,-58.92
1,BEAR,MTZ,3.33,0.9987,2023-12-07,29.7281,5.5201,0.8393,0.1801,0.8938,1.0,0.0,0.0833,0.0,0.0833,-48.1,-57.84,-63.21
2,BEAR,CALX,3.33,0.9974,2023-12-07,16.0883,3.6648,0.633,0.0475,1.2613,1.0,0.0,0.0,0.0,0.0,-40.08,-50.03,-55.8
3,BEAR,RKLB,3.33,0.9903,2023-12-07,13.6479,1.6577,0.5758,-0.0678,1.4647,1.0,0.0,0.0,0.0,0.0,-26.82,-35.38,-41.02
4,BEAR,TPL,3.33,0.9864,2023-12-07,25.9809,-2.0574,0.9482,-0.0489,-0.0099,1.0,0.0,0.0,0.2667,-0.2667,-23.93,-31.89,-37.22
5,BEAR,GTM,3.33,0.9858,2023-12-07,24.4392,3.7619,0.9162,0.1209,1.0006,1.0,0.0,0.0583,0.0,0.0583,-23.55,-31.41,-36.69
6,BEAR,XNCR,3.33,0.9845,2023-12-07,20.889,3.845,1.0,0.0858,1.0954,1.0,0.0,0.0,0.0,0.0,-22.83,-30.54,-35.72
7,BEAR,IRDM,3.33,0.9722,2023-12-07,23.8987,2.3778,0.7324,0.0233,0.7748,1.0,0.0,0.0,0.0,0.0,-18.34,-24.72,-29.17
8,BEAR,TALO,3.33,0.969,2023-12-07,27.4846,-1.1945,0.8841,-0.0198,0.437,1.0,0.0,0.0,0.0,0.0,-17.54,-23.67,-27.96
9,BEAR,VICR,3.33,0.9632,2023-12-07,30.7001,0.5678,0.5181,-0.0547,2.2291,1.0,0.0,0.0,0.0,0.0,-16.32,-22.06,-26.07
10,BEAR,CWK,3.33,0.9463,2023-12-07,25.5468,2.6196,0.8494,0.0324,1.7924,1.0,0.0,0.0,0.0,0.0,-13.77,-18.62,-22.11
11,BEAR,PL,3.33,0.9451,2023-12-07,26.5363,3.8495,0.6656,0.0217,1.6839,1.0,0.0,0.0833,0.0,0.0833,-13.62,-18.41,-21.85
12,BEAR,ASTE,3.33,0.9418,2023-12-07,44.1482,1.2681,0.5804,-0.0319,0.3237,1.0,0.0,0.0,0.325,-0.325,-13.24,-17.89,-21.26
13,BEAR,SSTK,3.33,0.9347,2023-12-07,30.9283,2.8239,0.8589,0.0689,1.6172,1.0,0.0,0.1083,0.2333,-0.125,-12.49,-16.88,-20.06
14,BEAR,OGN,3.33,0.925,2023-12-07,48.1723,-1.3264,0.7585,-0.1281,0.4129,1.0,0.0,0.0,0.1083,-0.1083,-11.61,-15.67,-18.63
15,BEAR,AA,3.33,0.8927,2023-12-07,12.3551,-0.563,0.7834,-0.1057,1.5567,1.0,0.0,0.0,0.0,0.0,-9.36,-12.57,-14.92
16,BEAR,INSP,3.33,0.8862,2023-12-07,15.2387,4.2856,0.7533,0.1404,1.4058,1.0,0.0,0.0,0.4128,-0.4128,-9.0,-12.07,-14.31
17,BEAR,CRK,3.33,0.8804,2023-12-07,32.0812,-3.5262,0.8378,-0.1826,0.6136,1.0,0.0,0.0,0.0,0.0,-8.69,-11.64,-13.78
18,BEAR,EL,3.33,0.8617,2023-12-07,23.3438,4.4006,0.7727,0.1138,0.6661,1.0,0.0,0.0,0.0,0.0,-7.79,-10.38,-12.25
19,BEAR,ICUI,3.33,0.8539,2023-12-07,28.1749,0.208,0.7853,-0.0637,1.0939,1.0,0.0,0.0,0.4128,-0.4128,-7.45,-9.91,-11.67
20,BEAR,WWW,3.33,0.8487,2023-12-07,17.1459,1.5753,0.8305,-0.0142,0.5364,1.0,0.0,0.0,0.0,0.0,-7.23,-9.61,-11.31
21,BEAR,ALGM,3.33,0.8449,2023-12-07,17.1142,1.3716,0.6896,-0.0329,1.4709,1.0,0.0,0.0,0.4,-0.4,-7.07,-9.39,-11.04
