rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BEAR,DD,3.33,0.9395,2024-03-01,16.6946,6.4485,0.7496,0.0846,0.431,1.0,0.0,0.0583,0.325,-0.2667,-31.67,-41.03,-46.62
2,BEAR,DGX,3.33,0.9311,2024-03-01,16.8329,-1.0224,0.8824,-0.0473,-0.0624,1.0,0.0,0.0,0.4,-0.4,-29.62,-38.62,-44.25
3,BEAR,MTB,3.33,0.9289,2024-03-01,12.5192,1.89,0.8326,0.0322,0.9514,1.0,0.0,0.0,0.1667,-0.1667,-27.98,-36.63,-42.23
4,BEAR,EVTC,3.33,0.8725,2024-03-01,23.0004,-3.5392,0.9905,-0.1178,0.7214,1.0,0.0,0.0,0.1333,-0.1333,-20.99,-28.12,-32.97
5,BEAR,EXPD,3.33,0.8472,2024-03-01,29.0412,-1.133,0.8995,-0.0716,0.5334,1.0,0.0,0.0,0.0833,-0.0833,-18.36,-24.69,-29.08
6,BEAR,BXP,3.33,0.847,2024-03-01,13.2332,0.4511,0.7789,0.0169,1.0401,1.0,0.0,0.0,0.2333,-0.2333,-18.18,-24.46,-28.81
7,BEAR,ZM,3.33,0.8444,2024-03-01,20.8272,3.2956,0.8569,0.0395,1.1597,1.0,0.0,0.0,0.0,0.0,-17.52,-23.6,-27.81
8,BEAR,TFIN,3.33,0.8436,2024-03-01,14.4144,2.3865,0.8178,0.0577,1.1974,1.0,0.0,0.0,0.3333,-0.3333,-17.08,-23.0,-27.12
9,BEAR,EFC,3.33,0.8427,2024-03-01,24.9481,-3.1554,0.9638,-0.0973,0.9485,1.0,0.0,0.0,0.0,0.0,-16.78,-22.63,-26.68
10,BEAR,EPR,3.33,0.8407,2024-03-01,27.5053,-2.3575,0.8816,-0.0454,0.4965,1.0,0.0,0.0,0.4,-0.4,-16.13,-21.76,-25.67
11,BEAR,VTR,3.33,0.8371,2024-03-01,32.0564,-2.6762,0.9407,-0.0686,0.8097,1.0,0.0,0.0,0.0,0.0,-15.22,-20.54,-24.26
12,BEAR,BFS,3.33,0.8327,2024-03-01,22.7872,-2.1379,0.8677,-0.0443,0.6375,1.0,0.0,0.5417,0.0,0.5417,-14.43,-19.48,-23.04
13,BEAR,KMB,3.33,0.8266,2024-03-01,18.5792,2.757,0.6935,0.0134,0.0952,1.0,0.0,0.0,0.0667,-0.0667,-13.65,-18.42,-21.81
14,BEAR,NFG,3.33,0.8215,2024-03-01,18.0148,1.2733,0.8514,0.0427,0.2234,1.0,0.0,0.0583,0.0,0.0583,-13.04,-17.59,-20.84
15,BEAR,TCBI,3.33,0.8176,2024-03-01,30.0814,-1.4834,0.787,-0.0565,1.331,1.0,0.0,0.2917,0.0,0.2917,-12.69,-17.11,-20.29
16,BEAR,DLB,3.33,0.8165,2024-03-01,20.646,-1.6451,0.7863,-0.0577,0.3069,1.0,0.0,0.0,0.0,0.0,-12.62,-17.02,-20.18
17,BEAR,KHC,3.33,0.8151,2024-03-01,30.9382,-4.0606,0.8367,-0.0928,-0.111,1.0,0.0,0.0,0.2167,-0.2167,-12.42,-16.75,-19.86
18,BEAR,NWBI,3.33,0.8132,2024-03-01,22.238,-2.496,0.8341,-0.0797,0.8992,1.0,0.0,0.0,0.0,0.0,-12.29,-16.58,-19.65
19,BEAR,LH,3.33,0.8093,2024-03-01,23.0435,-1.2542,0.8859,-0.0527,0.4704,1.0,0.0,0.0,0.0,0.0,-11.98,-16.15,-19.15
20,BEAR,ACI,3.33,0.809,2024-03-01,37.9394,-2.9285,0.9472,-0.0768,0.208,1.0,0.0,0.0,0.4,-0.4,-11.92,-16.06,-19.05
21,BEAR,BNL,3.33,0.8081,2024-03-01,36.2016,-3.5813,0.9103,-0.0853,0.4854,1.0,0.0,0.0,0.0,0.0,-11.8,-15.9,-18.86
22,BEAR,BMRN,3.33,0.8065,2024-03-01,15.6423,-0.679,0.9389,-0.0458,0.7487,1.0,0.0,0.1,0.0,0.1,-11.52,-15.51,-18.4
23,BEAR,UBSI,3.33,0.802,2024-03-01,18.3176,-1.6598,0.8098,-0.0598,1.0657,1.0,0.0,0.0,0.0833,-0.0833,-11.15,-14.99,-17.79
24,BEAR,UNH,3.33,0.7975,2024-03-01,19.7385,-1.6147,0.8507,-0.0629,-0.1256,1.0,0.0,0.0,0.2667,-0.2667,-10.85,-14.58,-17.29
25,BEAR,EVRG,3.33,0.7925,2024-03-01,22.1596,-0.9706,0.7422,0.0,-0.0089,1.0,0.0,0.0,0.0,0.0,-10.51,-14.12,-16.73
