rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,WY,100.0,1.0,2024-04-30,30.2326,-6.2359,0.9873,-0.143,0.6083,0.0,0.0,0.0,0.5333,-0.5333,Large Cap
2,BEAR,ROP,87.41,0.8741,2024-04-30,12.9881,-3.8713,0.9235,-0.0392,0.4196,0.0,0.0,0.0,0.4333,-0.4333,Large Cap
3,BEAR,UPS,87.33,0.8733,2024-04-30,13.7305,-0.5365,0.83,0.0261,0.6279,0.0,0.0,0.0,0.325,-0.325,Large Cap
4,BEAR,LH,86.44,0.8644,2024-04-30,17.385,-2.3662,0.8829,-0.0112,0.5233,0.0,0.0,0.0,0.2667,-0.2667,Large Cap
5,BEAR,ALLE,84.45,0.8445,2024-04-30,24.5632,-3.8085,0.7429,-0.0418,0.6638,0.0,0.0,0.0,0.2167,-0.2167,Large Cap
6,BEAR,ITW,84.25,0.8425,2024-04-30,24.9063,-5.0437,0.9288,-0.0407,0.3398,0.0,0.0,0.0,0.325,-0.325,Large Cap
7,BEAR,CHRW,82.59,0.8259,2024-04-30,19.5557,1.9936,0.8069,0.0822,0.1586,0.0,0.0,0.0,0.2167,-0.2167,Large Cap
8,BEAR,BMY,81.73,0.8173,2024-04-30,32.5024,-6.2359,0.9454,-0.131,0.2599,0.0,0.0,0.0,0.4,-0.4,Large Cap
9,BEAR,CVS,81.45,0.8145,2024-04-30,33.8841,-3.652,0.7489,-0.0368,0.1283,0.0,0.0,0.0,0.4,-0.4,Large Cap
10,BEAR,HD,80.33,0.8033,2024-04-30,30.3874,-4.7293,0.8144,-0.027,0.6067,0.0,0.0,0.0,0.325,-0.325,Large Cap
