rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,BURL,96.88,0.9688,2024-04-30,41.4593,-6.2359,0.842,-0.1534,1.2622,0.0,0.0,0.0,0.5333,-0.5333,Mid Cap
2,BEAR,WPC,89.23,0.8923,2024-04-30,13.4026,-0.2765,0.6895,0.0121,0.0861,0.0,0.0,0.0,0.5333,-0.5333,Mid Cap
3,BEAR,CNXC,85.03,0.8503,2024-04-30,40.3157,-2.8415,0.6136,-0.0743,0.9148,0.0,0.0,0.0,0.5333,-0.5333,Mid Cap
4,BEAR,SAIA,84.8,0.848,2024-04-30,27.1634,-5.3035,0.9746,-0.1955,0.351,0.0,0.0,0.0,0.4,-0.4,Mid Cap
5,BEAR,FLG,83.63,0.8363,2024-04-30,22.0903,-1.8335,0.4721,-0.1121,0.9112,0.0,0.0,0.0,0.5333,-0.5333,Mid Cap
6,BEAR,FHI,83.08,0.8308,2024-04-30,28.1363,-4.1475,0.996,-0.0662,0.1316,0.0,0.0,0.0,0.4,-0.4,Mid Cap
7,BEAR,LEA,83.08,0.8308,2024-04-30,23.0265,-5.0344,0.9222,-0.0809,0.9279,0.0,0.0,0.0,0.5333,-0.5333,Mid Cap
8,BEAR,WHR,82.47,0.8247,2024-04-30,30.2355,-5.4081,0.9639,-0.1359,1.0929,0.0,0.0,0.0,0.4,-0.4,Mid Cap
9,BEAR,CUBE,82.29,0.8229,2024-04-30,21.4285,-4.0384,0.8875,-0.079,0.646,0.0,0.0,0.0,0.4,-0.4,Mid Cap
10,BEAR,RGEN,82.15,0.8215,2024-04-30,24.3575,-2.1441,0.7804,-0.0403,1.2492,0.0,0.0,0.0,0.2667,-0.2667,Mid Cap
