rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,AUB,97.35,0.9735,2024-04-30,17.3251,-2.0062,0.8172,-0.0248,0.4195,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
2,BEAR,SFNC,92.41,0.9241,2024-04-30,17.6612,-3.173,0.8124,-0.0693,0.2737,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
3,BEAR,LXP,92.31,0.9231,2024-04-30,14.4499,-1.81,0.7809,-0.0256,0.4786,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
4,BEAR,ARI,89.65,0.8965,2024-04-30,13.5042,-3.8211,0.9254,-0.0997,0.821,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
5,BEAR,LKQ,89.28,0.8928,2024-04-30,42.6755,-6.2359,0.9217,-0.1458,0.124,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
6,BEAR,KMX,85.09,0.8509,2024-04-30,38.9146,-6.2359,0.7536,-0.1539,0.9208,0.0,0.0,0.0,0.2667,-0.2667,Small Cap
7,BEAR,RNG,82.43,0.8243,2024-04-30,20.936,-3.1365,0.6934,-0.0876,1.3661,0.0,0.0,0.0,0.4,-0.4,Small Cap
8,BEAR,UA,82.03,0.8203,2024-04-30,28.0148,-1.6502,0.5353,0.0121,0.6351,0.0,0.0,0.0,0.2167,-0.2167,Small Cap
9,BEAR,PRLB,80.75,0.8075,2024-04-30,24.4823,-4.2462,0.5348,-0.0827,0.7686,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
10,BEAR,PGNY,80.47,0.8047,2024-04-30,22.6006,-3.5933,0.5104,-0.0667,0.3765,0.0,0.0,0.0,0.2667,-0.2667,Small Cap
