rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,AEO,3.33,0.0333,2024-03-01,25.4898,6.353,0.8111,0.1331,1.0457,1.0,0.0,0.5333,0.0,0.5333,43488.9,46833.34,53077.79
2,BULL,FOUR,3.33,0.0333,2024-03-01,22.4363,2.2605,1.0,0.1052,1.0747,1.0,0.0,0.6667,0.0,0.6667,79.31,123.92,163.26
3,BULL,JXN,3.33,0.0333,2024-03-01,14.8326,4.3104,1.0,0.1157,0.9562,1.0,0.0,0.5333,0.0,0.5333,62.5,96.12,126.68
4,BULL,CRWD,3.33,0.0333,2024-03-01,20.8124,1.2032,0.8944,0.0178,1.6979,1.0,0.0,0.5417,0.0,0.5417,54.37,82.82,109.0
5,BULL,UBER,3.33,0.0333,2024-03-01,40.3158,6.7452,0.849,0.1475,1.4944,1.0,0.0,0.8,0.0,0.8,49.48,74.49,97.71
6,BULL,RCL,3.33,0.0333,2024-03-01,17.3707,-0.6975,0.9196,-0.0636,1.108,1.0,0.0,0.8,0.0,0.8,43.44,64.76,83.94
7,BULL,ANF,3.33,0.0333,2024-03-01,41.7036,6.9191,0.946,0.167,1.192,1.0,0.0,0.5333,0.0,0.5333,41.34,61.45,79.24
8,BULL,T,3.33,0.0333,2024-03-01,12.012,-3.2728,0.8943,-0.0287,-0.1256,1.0,0.0,0.5417,0.0,0.5417,39.62,58.69,75.53
9,BULL,MSTR,3.33,0.0333,2024-03-01,45.354,9.5849,1.0,0.3015,0.6217,1.0,0.0,0.6667,0.0,0.6667,38.11,56.38,72.39
10,BULL,MBIN,3.33,0.0333,2024-03-01,16.5257,0.3072,0.8113,-0.0062,1.2424,1.0,0.0,0.4,0.0,0.4,36.82,54.43,69.66
11,BULL,VST,3.33,0.0333,2024-03-01,59.1353,8.1767,0.9867,0.2475,0.5168,1.0,0.0,0.6667,0.0,0.6667,35.68,52.68,67.27
12,BULL,PJT,3.33,0.0333,2024-03-01,23.3938,2.652,0.8572,0.0474,0.8324,1.0,0.0,0.6667,0.0,0.6667,34.63,51.17,65.2
13,BULL,BCC,3.33,0.0333,2024-03-01,20.5011,-0.2107,0.9141,-0.0531,1.1757,1.0,0.0,0.4,0.0,0.4,33.7,49.77,63.34
14,BULL,TILE,3.33,0.0333,2024-03-01,34.2856,5.987,0.9914,0.1564,1.0325,1.0,0.0,0.5333,0.0,0.5333,32.09,47.34,60.16
15,BULL,NOW,3.33,0.0333,2024-03-01,16.5742,0.1364,0.9151,-0.0285,1.2651,1.0,0.0,0.2167,0.0,0.2167,31.38,46.32,58.79
16,BULL,URBN,3.33,0.0333,2024-03-01,26.775,1.7429,1.0,0.0255,1.2477,1.0,0.0,0.5417,0.0583,0.4833,30.74,45.37,57.48
17,BULL,HALO,3.33,0.0333,2024-03-01,32.6878,5.4801,0.8332,0.1547,0.8506,1.0,0.0,0.2667,0.0,0.2667,30.12,44.47,56.3
18,BULL,VITL,3.33,0.0333,2024-03-01,31.9052,5.3151,0.969,0.1668,0.228,1.0,0.0,0.5333,0.0,0.5333,29.55,43.64,55.21
19,BULL,DUOL,3.33,0.0333,2024-03-01,27.6607,5.7034,1.0,0.2229,1.8063,1.0,0.0,0.2667,0.0,0.2667,29.03,42.86,54.14
20,BULL,APPF,3.33,0.0333,2024-03-01,35.6766,2.2476,0.7665,0.0341,0.5626,1.0,0.0,0.8,0.0,0.8,28.55,42.13,53.18
21,BULL,PTGX,3.33,0.0333,2024-03-01,41.05,2.6902,0.9032,0.0922,1.464,1.0,0.0,0.4,0.0,0.4,28.09,41.42,52.26
22,BULL,MTDR,3.33,0.0333,2024-03-01,35.7676,6.6671,0.832,0.1201,0.4694,1.0,0.0,0.6667,0.0,0.6667,27.65,40.77,51.42
23,BULL,SKYW,3.33,0.0333,2024-03-01,40.7223,6.5369,0.9693,0.1325,0.9175,1.0,0.0,0.6667,0.0,0.6667,27.23,40.14,50.61
24,BULL,META,3.33,0.0333,2024-03-01,51.2278,9.5849,0.834,0.2738,1.8685,1.0,0.0,0.5333,0.0,0.5333,26.84,39.55,49.86
25,BULL,PSTG,3.33,0.0333,2024-03-01,23.4236,7.8509,1.0,0.2765,2.0659,1.0,0.0,0.2667,0.0,0.2667,26.46,38.97,49.15
26,BULL,ACMR,3.33,0.0333,2024-03-01,29.5822,9.5849,1.0,0.3015,2.0484,1.0,0.0,0.2667,0.0,0.2667,26.11,38.43,48.48
27,BULL,RNR,3.33,0.0333,2024-03-01,32.8779,0.0371,0.7183,-0.0149,-0.1115,1.0,0.0,0.325,0.0,0.325,25.78,37.93,47.82
28,BULL,URI,3.33,0.0333,2024-03-01,40.9958,3.8021,0.7951,0.0379,1.4557,1.0,0.0,0.4,0.0,0.4,25.46,37.42,47.2
29,BULL,POWL,3.33,0.0333,2024-03-01,58.6877,9.5849,1.0,0.3015,-0.1256,1.0,0.0,0.2667,0.0,0.2667,25.14,36.95,46.62
30,BULL,AVAV,3.33,0.0333,2024-03-01,25.5964,0.6928,0.9199,-0.0294,0.2451,1.0,0.0,0.1333,0.0,0.1333,24.85,36.49,46.06
