rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,AEO,4.17,0.0417,2024-04-30,17.5524,-1.4927,0.891,0.0048,1.1118,0.0,0.0,0.6667,0.0,0.6667
2,BULL,SMTC,4.17,0.0417,2024-04-30,50.7914,4.982,0.8949,0.2043,1.7756,0.0,0.0,0.6667,0.1667,0.6333
3,BULL,APPF,4.17,0.0417,2024-04-30,21.7447,-0.9303,1.0,-0.0141,1.2742,0.0,0.0,0.6667,0.0,0.6667
4,BULL,SKYW,4.17,0.0417,2024-04-30,33.6891,1.67,0.9925,0.103,0.6998,0.0,0.0,0.6667,0.0,0.6667
5,BULL,WWD,4.17,0.0417,2024-04-30,25.6072,2.971,1.0,0.124,-0.0151,0.0,0.0,0.6667,0.0,0.6667
6,BULL,BOOT,4.17,0.0417,2024-04-30,43.7557,2.8452,0.9518,0.1468,0.9477,0.0,0.0,0.6667,0.0,0.6667
7,BULL,TT,4.17,0.0417,2024-04-30,25.7211,2.5497,1.0,0.1019,0.4752,0.0,0.0,0.6667,0.0,0.6667
8,BULL,VITL,4.17,0.0417,2024-04-30,54.863,2.9136,1.0,0.1141,0.2156,0.0,0.0,0.5333,0.0,0.5333
9,BULL,PEG,4.17,0.0417,2024-04-30,20.6357,2.1095,1.0,0.0271,0.0242,0.0,0.0,0.6667,0.0,0.6667
10,BULL,VST,4.17,0.0417,2024-04-30,32.5498,1.4136,0.9888,0.0516,1.1218,0.0,0.0,0.6667,0.0,0.6667
11,BULL,OTTR,4.17,0.0417,2024-04-30,14.4502,0.2027,0.518,-0.0082,0.4482,0.0,0.0,0.4333,0.0,0.4333
12,BULL,GE,4.17,0.0417,2024-04-30,39.7502,4.982,0.923,0.2043,1.0586,0.0,0.0,0.6667,0.0,0.6667
13,BULL,NTAP,4.17,0.0417,2024-04-30,18.62,-0.1672,0.8666,0.0215,0.4291,0.0,0.0,0.325,0.0,0.325
14,BULL,CTRE,4.17,0.0417,2024-04-30,20.6974,1.6678,0.7663,0.0452,0.5203,0.0,0.0,0.6667,0.0,0.6667
15,BULL,ANF,4.17,0.0417,2024-04-30,15.7228,-1.7519,0.8775,-0.0226,1.2445,0.0,0.0,0.5333,0.0,0.5333
16,BULL,FULT,4.17,0.0417,2024-04-30,14.4154,2.3351,1.0,0.1116,0.3596,0.0,0.0,0.6667,0.0,0.6667
17,BULL,RCL,4.17,0.0417,2024-04-30,29.8583,0.55,0.9375,0.0713,0.989,0.0,0.0,0.6667,0.0,0.6667
18,BULL,CEG,4.17,0.0417,2024-04-30,29.7468,-0.335,0.8365,-0.0239,0.8756,0.0,0.0,0.4333,0.0,0.4333
19,BULL,BANF,4.17,0.0417,2024-04-30,20.3023,1.8337,0.8365,0.0826,0.3123,0.0,0.0,0.6667,0.0,0.6667
20,BULL,STZ,4.17,0.0417,2024-04-30,15.8617,-3.0159,0.8771,-0.0442,0.2443,0.0,0.0,0.3333,0.0,0.3333
21,BULL,MSGS,4.17,0.0417,2024-04-30,16.0868,1.6668,0.69,0.0377,0.345,0.0,0.0,0.4,0.0,0.4
22,BULL,JXN,4.17,0.0417,2024-04-30,40.8051,1.3796,0.9766,0.0731,0.9583,0.0,0.0,0.5333,0.0,0.5333
23,BULL,CTVA,4.17,0.0417,2024-04-30,19.9734,-2.987,0.6034,-0.01,0.4717,0.0,0.0,0.5833,0.0,0.5833
24,BULL,TRGP,4.17,0.0417,2024-04-30,51.5075,0.6823,0.9745,0.0417,0.3717,0.0,0.0,0.5417,0.0583,0.4833
