rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,TT,94.63,0.9463,2024-04-30,25.7211,2.5497,1.0,0.1019,0.4752,0.0,0.0,0.6667,0.0,0.6667,Large Cap
2,BULL,PEG,93.95,0.9395,2024-04-30,20.6357,2.1095,1.0,0.0271,0.0242,0.0,0.0,0.6667,0.0,0.6667,Large Cap
3,BULL,VST,93.71,0.9371,2024-04-30,32.5498,1.4136,0.9888,0.0516,1.1218,0.0,0.0,0.6667,0.0,0.6667,Large Cap
4,BULL,GE,92.11,0.9211,2024-04-30,39.7502,4.982,0.923,0.2043,1.0586,0.0,0.0,0.6667,0.0,0.6667,Large Cap
5,BULL,NTAP,92.08,0.9208,2024-04-30,18.62,-0.1672,0.8666,0.0215,0.4291,0.0,0.0,0.325,0.0,0.325,Large Cap
6,BULL,MSTR,91.95,0.9195,2024-04-30,19.4006,-3.0387,0.7618,-0.1955,2.1804,0.0,0.0,0.4167,0.0,0.4167,Large Cap
7,BULL,RCL,90.76,0.9076,2024-04-30,29.8583,0.55,0.9375,0.0713,0.989,0.0,0.0,0.6667,0.0,0.6667,Large Cap
8,BULL,CEG,90.2,0.902,2024-04-30,29.7468,-0.335,0.8365,-0.0239,0.8756,0.0,0.0,0.4333,0.0,0.4333,Large Cap
9,BULL,STZ,89.12,0.8912,2024-04-30,15.8617,-3.0159,0.8771,-0.0442,0.2443,0.0,0.0,0.3333,0.0,0.3333,Large Cap
10,BULL,CTVA,88.31,0.8831,2024-04-30,19.9734,-2.987,0.6034,-0.01,0.4717,0.0,0.0,0.5833,0.0,0.5833,Large Cap
