rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,APPF,97.09,0.9709,2024-04-30,21.7447,-0.9303,1.0,-0.0141,1.2742,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
2,BULL,WWD,96.04,0.9604,2024-04-30,25.6072,2.971,1.0,0.124,-0.0151,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
3,BULL,CTRE,91.77,0.9177,2024-04-30,20.6974,1.6678,0.7663,0.0452,0.5203,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
4,BULL,ANF,91.29,0.9129,2024-04-30,15.7228,-1.7519,0.8775,-0.0226,1.2445,0.0,0.0,0.5333,0.0,0.5333,Mid Cap
5,BULL,DUOL,87.11,0.8711,2024-04-30,14.5976,1.2462,0.8919,0.1161,2.103,0.0,0.0,0.2667,0.0,0.2667,Mid Cap
6,BULL,WFRD,86.29,0.8629,2024-04-30,33.0125,0.0767,1.0,0.0313,1.1082,0.0,0.0,0.2667,0.0,0.2667,Mid Cap
7,BULL,CR,84.64,0.8464,2024-04-30,29.5282,1.2872,1.0,0.0723,1.2072,0.0,0.0,0.2667,0.0,0.2667,Mid Cap
8,BULL,AMKR,84.55,0.8455,2024-04-30,14.4014,1.0104,1.0,0.068,1.7365,0.0,0.0,0.4,0.0,0.4,Mid Cap
9,BULL,TNL,84.0,0.84,2024-04-30,22.4666,-3.1275,0.8867,-0.0279,0.8946,0.0,0.0,0.1667,0.0,0.1667,Mid Cap
10,BULL,CVLT,83.84,0.8384,2024-04-30,15.8453,1.4111,0.9521,0.0584,0.7141,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
