rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,AEO,100.0,1.0,2024-04-30,17.5524,-1.4927,0.891,0.0048,1.1118,0.0,0.0,0.6667,0.0,0.6667,Small Cap
2,BULL,SMTC,98.89,0.9889,2024-04-30,50.7914,4.982,0.8949,0.2043,1.7756,0.0,0.0,0.6667,0.1667,0.6333,Small Cap
3,BULL,SKYW,96.57,0.9657,2024-04-30,33.6891,1.67,0.9925,0.103,0.6998,0.0,0.0,0.6667,0.0,0.6667,Small Cap
4,BULL,BOOT,94.92,0.9492,2024-04-30,43.7557,2.8452,0.9518,0.1468,0.9477,0.0,0.0,0.6667,0.0,0.6667,Small Cap
5,BULL,VITL,94.48,0.9448,2024-04-30,54.863,2.9136,1.0,0.1141,0.2156,0.0,0.0,0.5333,0.0,0.5333,Small Cap
6,BULL,OTTR,92.82,0.9282,2024-04-30,14.4502,0.2027,0.518,-0.0082,0.4482,0.0,0.0,0.4333,0.0,0.4333,Small Cap
7,BULL,FULT,91.15,0.9115,2024-04-30,14.4154,2.3351,1.0,0.1116,0.3596,0.0,0.0,0.6667,0.0,0.6667,Small Cap
8,BULL,BANF,89.31,0.8931,2024-04-30,20.3023,1.8337,0.8365,0.0826,0.3123,0.0,0.0,0.6667,0.0,0.6667,Small Cap
9,BULL,MSGS,88.67,0.8867,2024-04-30,16.0868,1.6668,0.69,0.0377,0.345,0.0,0.0,0.4,0.0,0.4,Small Cap
10,BULL,JXN,88.48,0.8848,2024-04-30,40.8051,1.3796,0.9766,0.0731,0.9583,0.0,0.0,0.5333,0.0,0.5333,Small Cap
