rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,AEO,4.17,0.0417,2024-04-30,17.5524,-1.4927,0.891,0.0048,1.1118,0.0,0.0,0.6667,0.0,0.6667
2,BULL,SMTC,4.17,0.0417,2024-04-30,50.7914,4.982,0.8949,0.2043,1.7756,0.0,0.0,0.6667,0.1667,0.6333
3,BULL,APPF,4.17,0.0417,2024-04-30,21.7447,-0.9303,1.0,-0.0141,1.2742,0.0,0.0,0.6667,0.0,0.6667
4,BULL,SKYW,4.17,0.0417,2024-04-30,33.6891,1.67,0.9925,0.103,0.6998,0.0,0.0,0.6667,0.0,0.6667
5,BULL,WWD,4.17,0.0417,2024-04-30,25.6072,2.971,1.0,0.124,-0.0151,0.0,0.0,0.6667,0.0,0.6667
6,BULL,BOOT,4.17,0.0417,2024-04-30,43.7557,2.8452,0.9518,0.1468,0.9477,0.0,0.0,0.6667,0.0,0.6667
7,BULL,TT,4.17,0.0417,2024-04-30,25.7211,2.5497,1.0,0.1019,0.4752,0.0,0.0,0.6667,0.0,0.6667
8,BULL,VITL,4.17,0.0417,2024-04-30,54.863,2.9136,1.0,0.1141,0.2156,0.0,0.0,0.5333,0.0,0.5333
9,BULL,PEG,4.17,0.0417,2024-04-30,20.6357,2.1095,1.0,0.0271,0.0242,0.0,0.0,0.6667,0.0,0.6667
10,BULL,VST,4.17,0.0417,2024-04-30,32.5498,1.4136,0.9888,0.0516,1.1218,0.0,0.0,0.6667,0.0,0.6667
11,BULL,OTTR,4.17,0.0417,2024-04-30,14.4502,0.2027,0.518,-0.0082,0.4482,0.0,0.0,0.4333,0.0,0.4333
12,BULL,GE,4.17,0.0417,2024-04-30,39.7502,4.982,0.923,0.2043,1.0586,0.0,0.0,0.6667,0.0,0.6667
13,BULL,NTAP,4.17,0.0417,2024-04-30,18.62,-0.1672,0.8666,0.0215,0.4291,0.0,0.0,0.325,0.0,0.325
14,BULL,CTRE,4.17,0.0417,2024-04-30,20.6974,1.6678,0.7663,0.0452,0.5203,0.0,0.0,0.6667,0.0,0.6667
15,BULL,ANF,4.17,0.0417,2024-04-30,15.7228,-1.7519,0.8775,-0.0226,1.2445,0.0,0.0,0.5333,0.0,0.5333
16,BULL,FULT,4.17,0.0417,2024-04-30,14.4154,2.3351,1.0,0.1116,0.3596,0.0,0.0,0.6667,0.0,0.6667
17,BULL,RCL,4.17,0.0417,2024-04-30,29.8583,0.55,0.9375,0.0713,0.989,0.0,0.0,0.6667,0.0,0.6667
18,BULL,CEG,4.17,0.0417,2024-04-30,29.7468,-0.335,0.8365,-0.0239,0.8756,0.0,0.0,0.4333,0.0,0.4333
19,BULL,BANF,4.17,0.0417,2024-04-30,20.3023,1.8337,0.8365,0.0826,0.3123,0.0,0.0,0.6667,0.0,0.6667
20,BULL,STZ,4.17,0.0417,2024-04-30,15.8617,-3.0159,0.8771,-0.0442,0.2443,0.0,0.0,0.3333,0.0,0.3333
21,BULL,MSGS,4.17,0.0417,2024-04-30,16.0868,1.6668,0.69,0.0377,0.345,0.0,0.0,0.4,0.0,0.4
22,BULL,JXN,4.17,0.0417,2024-04-30,40.8051,1.3796,0.9766,0.0731,0.9583,0.0,0.0,0.5333,0.0,0.5333
23,BULL,CTVA,4.17,0.0417,2024-04-30,19.9734,-2.987,0.6034,-0.01,0.4717,0.0,0.0,0.5833,0.0,0.5833
24,BULL,TRGP,4.17,0.0417,2024-04-30,51.5075,0.6823,0.9745,0.0417,0.3717,0.0,0.0,0.5417,0.0583,0.4833
1,BEAR,ROP,3.7,0.8741,2024-04-30,12.9881,-3.8713,0.9235,-0.0392,0.4196,0.0,0.0,0.0,0.4333,-0.4333
2,BEAR,LH,3.7,0.8644,2024-04-30,17.385,-2.3662,0.8829,-0.0112,0.5233,0.0,0.0,0.0,0.2667,-0.2667
3,BEAR,ALLE,3.7,0.8445,2024-04-30,24.5632,-3.8085,0.7429,-0.0418,0.6638,0.0,0.0,0.0,0.2167,-0.2167
4,BEAR,ITW,3.7,0.8425,2024-04-30,24.9063,-5.0437,0.9288,-0.0407,0.3398,0.0,0.0,0.0,0.325,-0.325
5,BEAR,CUBE,3.7,0.8229,2024-04-30,21.4285,-4.0384,0.8875,-0.079,0.646,0.0,0.0,0.0,0.4,-0.4
6,BEAR,WU,3.7,0.8021,2024-04-30,14.9004,-1.0181,0.9165,0.0122,0.4437,0.0,0.0,0.0,0.0667,-0.0667
7,BEAR,JLL,3.7,0.799,2024-04-30,15.2866,-2.0559,0.683,-0.0279,0.954,0.0,0.0,0.25,0.1667,0.0833
8,BEAR,UNH,3.7,0.7969,2024-04-30,24.2563,2.4326,0.8735,0.0943,0.0921,0.0,0.0,0.0,0.2167,-0.2167
9,BEAR,CAKE,3.7,0.7912,2024-04-30,14.7283,-2.6241,0.8125,-0.0119,0.5364,0.0,0.0,0.0,0.0,0.0
10,BEAR,UAL,3.7,0.7894,2024-04-30,43.8464,4.982,0.8226,0.2043,0.3578,0.0,0.0,0.2167,0.0,0.2167
11,BEAR,RPM,3.7,0.788,2024-04-30,30.9172,-4.872,0.8598,-0.0399,0.7304,0.0,0.0,0.2333,0.0,0.2333
12,BEAR,SAFT,3.7,0.7875,2024-04-30,14.7831,-0.8576,0.8401,0.0175,-0.0303,0.0,0.0,0.0,0.0,0.0
13,BEAR,POOL,3.7,0.7856,2024-04-30,21.5844,-2.7978,0.8359,-0.0218,0.6346,0.0,0.0,0.0,0.0,0.0
14,BEAR,MORN,3.7,0.7847,2024-04-30,24.4732,-3.0402,0.9144,-0.031,0.4999,0.0,0.0,0.0,0.0,0.0
15,BEAR,NSC,3.7,0.78,2024-04-30,17.3987,-3.1279,1.0,-0.0476,0.4788,0.0,0.0,0.0,0.0,0.0
16,BEAR,SSB,3.7,0.7782,2024-04-30,10.2597,-2.6076,0.7112,-0.031,0.5693,0.0,0.0,0.0,0.0,0.0
17,BEAR,BFS,3.7,0.7763,2024-04-30,10.0441,-0.5228,0.8488,0.0078,0.3726,0.0,0.0,0.4167,0.0,0.4167
18,BEAR,CRC,3.7,0.7751,2024-04-30,9.7119,-0.2765,0.675,0.0206,0.5014,0.0,0.0,0.25,0.0833,0.1667
19,BEAR,EVTC,3.7,0.7749,2024-04-30,10.5091,-1.0872,0.6683,0.0134,0.4055,0.0,0.0,0.0,0.0,0.0
20,BEAR,LNN,3.7,0.7744,2024-04-30,22.4953,0.5086,0.7978,0.0565,0.2644,0.0,0.0,0.0,0.0,0.0
21,BEAR,TJX,3.7,0.7741,2024-04-30,20.2517,-3.434,0.96,-0.0,0.2645,0.0,0.0,0.0,0.2167,-0.2167
22,BEAR,VTR,3.7,0.7735,2024-04-30,11.9901,1.7625,0.7209,0.0529,0.6263,0.0,0.0,0.0,0.0,0.0
23,BEAR,MTB,3.7,0.7706,2024-04-30,20.2007,1.1718,0.7757,0.0613,0.202,0.0,0.0,0.0,0.1333,-0.1333
24,BEAR,WMG,3.7,0.7679,2024-04-30,14.6756,0.3233,0.9175,0.0215,0.2566,0.0,0.0,0.0,0.0,0.0
25,BEAR,CVX,3.7,0.767,2024-04-30,31.7331,0.5206,0.9795,0.0378,0.1483,0.0,0.0,0.6667,0.0,0.6667
26,BEAR,CNC,3.7,0.7647,2024-04-30,16.2584,0.3342,0.9536,0.0483,0.3639,0.0,0.0,0.1167,0.0,0.1167
27,BEAR,DGX,3.7,0.7628,2024-04-30,29.0114,2.1424,0.9817,0.0892,0.2859,0.0,0.0,0.0,0.1,-0.1
