rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BEAR,PENG,3.33,0.9722,2024-04-30,37.9246,-6.1847,0.784,-0.1955,2.1804,0.0,0.0,0.0,0.5333,-0.5333
2,BEAR,OLED,3.33,0.9423,2024-04-30,16.6009,-1.5478,0.6973,-0.0157,1.1245,0.0,0.0,0.1,0.2667,-0.1667
3,BEAR,COCO,3.33,0.9152,2024-04-30,15.7388,-0.0374,0.708,0.0081,0.6065,0.0,0.0,0.0,0.325,-0.325
4,BEAR,EPR,3.33,0.9125,2024-04-30,9.7119,-0.0862,0.7446,0.0164,0.462,0.0,0.0,0.0,0.5333,-0.5333
5,BEAR,NUE,3.33,0.8871,2024-04-30,29.72,-5.4373,0.9535,-0.1183,0.2983,0.0,0.0,0.175,0.2167,-0.0417
6,BEAR,INDV,3.33,0.8863,2024-04-30,25.9723,-4.1148,0.7434,-0.1313,2.0328,0.0,0.0,0.0,0.5333,-0.5333
7,BEAR,GEF,3.33,0.8795,2024-04-30,28.6594,-5.6326,0.8227,-0.0667,0.5018,0.0,0.0,0.0,0.2667,-0.2667
8,BEAR,AMSF,3.33,0.8771,2024-04-30,29.725,-2.2353,0.9767,-0.0254,0.2252,0.0,0.0,0.0,0.2667,-0.2667
9,BEAR,ZBH,3.33,0.8733,2024-04-30,17.6356,-3.6912,0.7456,-0.0259,0.4855,0.0,0.0,0.0,0.2667,-0.2667
10,BEAR,WGO,3.33,0.8552,2024-04-30,22.8251,-4.6164,0.7932,-0.0739,0.7829,0.0,0.0,0.0,0.4,-0.4
11,BEAR,CNXC,3.33,0.8552,2024-04-30,40.3157,-2.8415,0.6136,-0.0743,0.9148,0.0,0.0,0.0,0.5333,-0.5333
12,BEAR,DGII,3.33,0.855,2024-04-30,16.6315,-0.4992,0.7677,0.0111,1.1023,0.0,0.0,0.0,0.2333,-0.2333
13,BEAR,MCW,3.33,0.8419,2024-04-30,26.7726,-2.8603,0.6766,-0.0534,0.2858,0.0,0.0,0.0,0.2667,-0.2667
14,BEAR,XEL,3.33,0.8395,2024-04-30,11.7688,-0.3242,0.5815,-0.0187,-0.167,0.0,0.0,0.0,0.4,-0.4
15,BEAR,AON,3.33,0.839,2024-04-30,37.6772,-6.2354,0.9974,-0.1186,0.026,0.0,0.0,0.0,0.4,-0.4
16,BEAR,USPH,3.33,0.8296,2024-04-30,18.8057,-2.2112,0.764,-0.0146,0.8247,0.0,0.0,0.0,0.1667,-0.1667
17,BEAR,LEA,3.33,0.8269,2024-04-30,23.0265,-5.0344,0.9222,-0.0809,0.9279,0.0,0.0,0.0,0.5333,-0.5333
18,BEAR,OMCL,3.33,0.8219,2024-04-30,11.4278,-0.8922,0.5895,0.0055,0.1529,0.0,0.0,0.0,0.5333,-0.5333
19,BEAR,DG,3.33,0.821,2024-04-30,24.0038,-4.166,0.6913,-0.0938,0.4869,0.0,0.0,0.0,0.2167,-0.2167
20,BEAR,GGG,3.33,0.818,2024-04-30,31.8201,-6.2359,0.9801,-0.0952,0.5617,0.0,0.0,0.0,0.5333,-0.5333
21,BEAR,NAVI,3.33,0.8172,2024-04-30,19.8748,-3.3379,0.9567,-0.0698,0.799,0.0,0.0,0.0,0.4,-0.4
22,BEAR,AGCO,3.33,0.8145,2024-04-30,28.7661,-2.3047,0.9071,-0.0247,0.1199,0.0,0.0,0.0,0.1333,-0.1333
23,BEAR,AMPH,3.33,0.8053,2024-04-30,34.4003,-0.905,0.4937,0.0144,0.3197,0.0,0.0,0.0,0.325,-0.325
24,BEAR,SPSC,3.33,0.8048,2024-04-30,20.7222,-0.3905,0.7106,0.0122,1.592,0.0,0.0,0.0,0.0,0.0
25,BEAR,CORT,3.33,0.8014,2024-04-30,16.1006,-1.9515,0.7851,-0.0439,1.6312,0.0,0.0,0.1,0.0,0.1
26,BEAR,PLAB,3.33,0.8005,2024-04-30,14.0114,-0.5277,0.5779,0.0055,1.9905,0.0,0.0,0.0,0.0,0.0
27,BEAR,ABR,3.33,0.7991,2024-04-30,12.2232,-0.3033,0.598,0.0265,0.5866,0.0,0.0,0.0,0.0,0.0
28,BEAR,VSH,3.33,0.7986,2024-04-30,16.5991,2.2271,0.8671,0.0761,1.0168,0.0,0.0,0.2167,0.0,0.2167
29,BEAR,ACMR,3.33,0.7981,2024-04-30,13.9466,-2.2469,0.8606,-0.1529,2.1804,0.0,0.0,0.1667,0.0,0.1667
30,BEAR,CVI,3.33,0.7977,2024-04-30,19.6229,-4.6373,0.935,-0.1512,0.696,0.0,0.0,0.0,0.4,-0.4
