rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,EG,95.46,0.9546,2024-04-30,20.5486,-3.2056,0.8468,-0.0322,0.0913,0.0,0.0,0.0,0.2667,-0.2667,Large Cap
2,BEAR,MSFT,94.25,0.9425,2024-04-30,20.1911,-3.5187,1.0,-0.0546,1.1445,0.0,0.0,0.0,0.4333,-0.4333,Large Cap
3,BEAR,NUE,88.71,0.8871,2024-04-30,29.72,-5.4373,0.9535,-0.1183,0.2983,0.0,0.0,0.175,0.2167,-0.0417,Large Cap
4,BEAR,ZBH,87.33,0.8733,2024-04-30,17.6356,-3.6912,0.7456,-0.0259,0.4855,0.0,0.0,0.0,0.2667,-0.2667,Large Cap
5,BEAR,XEL,83.95,0.8395,2024-04-30,11.7688,-0.3242,0.5815,-0.0187,-0.167,0.0,0.0,0.0,0.4,-0.4,Large Cap
6,BEAR,AON,83.9,0.839,2024-04-30,37.6772,-6.2354,0.9974,-0.1186,0.026,0.0,0.0,0.0,0.4,-0.4,Large Cap
7,BEAR,DG,82.1,0.821,2024-04-30,24.0038,-4.166,0.6913,-0.0938,0.4869,0.0,0.0,0.0,0.2167,-0.2167,Large Cap
8,BEAR,BKR,81.88,0.8188,2024-04-30,22.5803,-1.2832,0.9197,-0.0008,0.197,0.0,0.0,0.0,0.1167,-0.1167,Large Cap
9,BEAR,CAT,80.83,0.8083,2024-04-30,30.2332,-2.7365,1.0,-0.0456,0.945,0.0,0.0,0.0,0.0833,-0.0833,Large Cap
10,BEAR,ADI,80.71,0.8071,2024-04-30,16.9038,1.153,0.9417,0.0537,1.151,0.0,0.0,0.0,0.0,0.0,Large Cap
