rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,ACI,99.12,0.9912,2024-04-30,27.9019,-1.773,0.7696,-0.0179,0.1094,0.0,0.0,0.0,0.4,-0.4,Mid Cap
2,BEAR,CCK,99.0,0.99,2024-04-30,20.6386,2.1602,0.6083,0.0936,0.4588,0.0,0.0,0.4167,0.3333,0.0833,Mid Cap
3,BEAR,OLED,94.23,0.9423,2024-04-30,16.6009,-1.5478,0.6973,-0.0157,1.1245,0.0,0.0,0.1,0.2667,-0.1667,Mid Cap
4,BEAR,WTRG,93.58,0.9358,2024-04-30,13.2385,0.334,0.9294,-0.0054,0.2181,0.0,0.0,0.1083,0.175,-0.0667,Mid Cap
5,BEAR,EPR,91.25,0.9125,2024-04-30,9.7119,-0.0862,0.7446,0.0164,0.462,0.0,0.0,0.0,0.5333,-0.5333,Mid Cap
6,BEAR,SR,90.11,0.9011,2024-04-30,15.9388,0.6665,0.7936,0.0,0.1415,0.0,0.0,0.0,0.0667,-0.0667,Mid Cap
7,BEAR,SGI,89.79,0.8979,2024-04-30,26.1578,-2.8849,0.822,-0.0191,0.9135,0.0,0.0,0.0,0.25,-0.25,Mid Cap
8,BEAR,GEF,87.95,0.8795,2024-04-30,28.6594,-5.6326,0.8227,-0.0667,0.5018,0.0,0.0,0.0,0.2667,-0.2667,Mid Cap
9,BEAR,INGR,87.11,0.8711,2024-04-30,18.061,-1.1653,0.7544,-0.0062,0.0696,0.0,0.0,0.0,0.0667,-0.0667,Mid Cap
10,BEAR,VNT,86.63,0.8663,2024-04-30,34.8796,-5.0251,0.8481,-0.077,0.6829,0.0,0.0,0.0,0.1667,-0.1667,Mid Cap
